Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:21:13.414899,16:21:16.652503,1.0,-1.0,1.0
1,16:21:13.414899,16:21:17.078419,1.0,-1.0,1.0
1,16:21:13.414899,16:21:17.300792,1.0,-1.0,1.0
1,16:21:13.414899,16:21:17.544536,1.0,-1.0,1.0
1,16:21:13.414899,16:21:18.111949,1.0,-1.0,1.0
1,16:21:13.414899,16:21:18.399733,1.0,-1.0,1.0
1,16:21:13.414899,16:21:18.597079,1.0,-1.0,1.0
1,16:21:13.414899,16:21:18.886250,1.0,-1.0,1.0
1,16:21:13.414899,16:21:19.172370,1.0,-1.0,1.0
1,16:21:13.414899,16:21:19.697324,1.0,-1.0,1.0
1,16:21:13.414899,16:21:19.928542,1.0,-1.0,1.0
1,16:21:13.414899,16:21:20.162739,1.0,-1.0,1.0
1,16:21:13.414899,16:21:20.640305,1.0,-1.0,1.0
1,16:21:13.414899,16:21:20.884512,1.0,-1.0,1.0
1,16:21:13.414899,16:21:21.071712,1.0,-1.0,1.0
1,16:21:13.414899,16:21:21.305075,1.0,-1.0,1.0
1,16:21:13.414899,16:21:21.598136,1.0,-1.0,1.0
1,16:21:13.414899,16:21:21.827043,1.0,-1.0,1.0
1,16:21:13.414899,16:21:22.234451,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:22.526604,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:22.691049,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:22.879624,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:23.095169,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:23.320747,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:23.510184,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:23.935884,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:24.249349,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:24.534395,-1.0,-1.0,-1.0
1,16:21:13.414899,16:21:24.818933,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.002190,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.204236,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.395183,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.593833,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.806921,1.0,-1.0,1.0
1,16:21:13.414899,16:21:25.994197,1.0,-1.0,1.0
1,16:21:13.414899,16:21:26.206986,1.0,-1.0,1.0
1,16:21:13.414899,16:21:26.399954,1.0,-1.0,1.0
1,16:21:13.414899,16:21:26.633259,1.0,-1.0,1.0
1,16:21:13.414899,16:21:26.865770,1.0,-1.0,1.0
1,16:21:13.414899,16:21:27.068088,1.0,-1.0,1.0
1,16:21:13.414899,16:21:27.300006,1.0,-1.0,1.0
1,16:21:13.414899,16:21:27.508925,1.0,-1.0,1.0
1,16:21:13.414899,16:21:27.741531,1.0,-1.0,1.0
1,16:21:13.414899,16:21:28.222492,1.0,-1.0,1.0
1,16:21:13.414899,16:21:28.570034,1.0,-1.0,1.0
1,16:21:13.414899,16:21:28.801014,1.0,-1.0,1.0
1,16:21:13.414899,16:21:29.140191,1.0,-1.0,1.0
1,16:21:13.414899,16:21:29.427412,1.0,-1.0,1.0
