Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:01:08.855571,16:01:10.445551,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:11.140705,1.0,-1.0,1.0
1,16:01:08.855571,16:01:11.447844,1.0,-1.0,1.0
1,16:01:08.855571,16:01:11.693503,1.0,-1.0,1.0
1,16:01:08.855571,16:01:12.000678,1.0,-1.0,1.0
1,16:01:08.855571,16:01:12.652867,1.0,-1.0,1.0
1,16:01:08.855571,16:01:12.948179,1.0,-1.0,1.0
1,16:01:08.855571,16:01:13.128146,1.0,-1.0,1.0
1,16:01:08.855571,16:01:13.363918,1.0,-1.0,1.0
1,16:01:08.855571,16:01:13.673425,1.0,-1.0,1.0
1,16:01:08.855571,16:01:14.387055,1.0,-1.0,1.0
1,16:01:08.855571,16:01:15.226702,1.0,-1.0,1.0
1,16:01:08.855571,16:01:15.516744,1.0,-1.0,1.0
1,16:01:08.855571,16:01:16.088960,1.0,-1.0,1.0
1,16:01:08.855571,16:01:17.420011,1.0,-1.0,1.0
1,16:01:08.855571,16:01:18.021677,1.0,-1.0,1.0
1,16:01:08.855571,16:01:19.977630,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:20.284000,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:20.535972,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:20.786740,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:21.019894,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:21.253065,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:21.495547,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:21.724241,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:21.968864,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:22.180257,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:22.487075,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:22.654734,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:22.897639,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:23.108081,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:23.289584,1.0,-1.0,1.0
1,16:01:08.855571,16:01:23.510589,1.0,-1.0,1.0
1,16:01:08.855571,16:01:23.721992,1.0,-1.0,1.0
1,16:01:08.855571,16:01:23.922252,1.0,-1.0,1.0
1,16:01:08.855571,16:01:24.144786,1.0,-1.0,1.0
1,16:01:08.855571,16:01:24.335002,1.0,-1.0,1.0
1,16:01:08.855571,16:01:24.522806,1.0,-1.0,1.0
1,16:01:08.855571,16:01:24.716498,1.0,-1.0,1.0
1,16:01:08.855571,16:01:24.939733,1.0,-1.0,1.0
1,16:01:08.855571,16:01:25.152943,1.0,-1.0,1.0
1,16:01:08.855571,16:01:25.353313,1.0,-1.0,1.0
1,16:01:08.855571,16:01:25.564414,1.0,-1.0,1.0
1,16:01:08.855571,16:01:25.755427,1.0,-1.0,1.0
1,16:01:08.855571,16:01:25.988514,1.0,-1.0,1.0
1,16:01:08.855571,16:01:26.187841,1.0,-1.0,1.0
1,16:01:08.855571,16:01:26.388657,1.0,-1.0,1.0
1,16:01:08.855571,16:01:26.611567,1.0,-1.0,1.0
1,16:01:08.855571,16:01:26.803009,1.0,-1.0,1.0
1,16:01:08.855571,16:01:27.016435,1.0,-1.0,1.0
1,16:01:08.855571,16:01:27.228513,1.0,-1.0,1.0
1,16:01:08.855571,16:01:27.451765,1.0,-1.0,1.0
1,16:01:08.855571,16:01:27.674285,1.0,-1.0,1.0
1,16:01:08.855571,16:01:27.904468,1.0,-1.0,1.0
1,16:01:08.855571,16:01:28.144529,1.0,-1.0,1.0
1,16:01:08.855571,16:01:28.368139,1.0,-1.0,1.0
1,16:01:08.855571,16:01:28.590635,1.0,-1.0,1.0
1,16:01:08.855571,16:01:28.833070,1.0,-1.0,1.0
1,16:01:08.855571,16:01:29.077073,1.0,-1.0,1.0
1,16:01:08.855571,16:01:29.323047,1.0,-1.0,1.0
1,16:01:08.855571,16:01:29.566499,1.0,-1.0,1.0
1,16:01:08.855571,16:01:29.808260,1.0,-1.0,1.0
1,16:01:08.855571,16:01:30.064446,1.0,-1.0,1.0
1,16:01:08.855571,16:01:30.318010,1.0,-1.0,1.0
1,16:01:08.855571,16:01:31.680557,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:31.986112,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:32.241741,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:32.547224,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:32.782872,-1.0,-1.0,-1.0
1,16:01:08.855571,16:01:33.087636,-1.0,-1.0,-1.0
