Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:29:17.249250,16:29:19.127876,1.0,-1.0,1.0
1,16:29:17.249250,16:29:19.592768,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:19.885423,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:20.093150,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:20.624042,1.0,-1.0,1.0
1,16:29:17.249250,16:29:20.816927,1.0,-1.0,1.0
1,16:29:17.249250,16:29:21.148873,1.0,-1.0,1.0
1,16:29:17.249250,16:29:21.438575,1.0,-1.0,1.0
1,16:29:17.249250,16:29:21.724683,1.0,-1.0,1.0
1,16:29:17.249250,16:29:22.009204,1.0,-1.0,1.0
1,16:29:17.249250,16:29:22.254278,1.0,-1.0,1.0
1,16:29:17.249250,16:29:22.544227,1.0,-1.0,1.0
1,16:29:17.249250,16:29:22.879150,1.0,-1.0,1.0
1,16:29:17.249250,16:29:23.340902,1.0,-1.0,1.0
1,16:29:17.249250,16:29:23.627435,1.0,-1.0,1.0
1,16:29:17.249250,16:29:23.824630,1.0,-1.0,1.0
1,16:29:17.249250,16:29:24.026972,1.0,-1.0,1.0
1,16:29:17.249250,16:29:24.216947,1.0,-1.0,1.0
1,16:29:17.249250,16:29:24.441478,1.0,-1.0,1.0
1,16:29:17.249250,16:29:24.644614,1.0,-1.0,1.0
1,16:29:17.249250,16:29:24.871627,1.0,-1.0,1.0
1,16:29:17.249250,16:29:25.060168,1.0,-1.0,1.0
1,16:29:17.249250,16:29:25.272040,1.0,-1.0,1.0
1,16:29:17.249250,16:29:25.517226,1.0,-1.0,1.0
1,16:29:17.249250,16:29:25.807539,1.0,-1.0,1.0
1,16:29:17.249250,16:29:26.024659,1.0,-1.0,1.0
1,16:29:17.249250,16:29:26.253155,1.0,-1.0,1.0
1,16:29:17.249250,16:29:26.494538,1.0,-1.0,1.0
1,16:29:17.249250,16:29:26.725660,1.0,-1.0,1.0
1,16:29:17.249250,16:29:26.955387,1.0,-1.0,1.0
1,16:29:17.249250,16:29:27.248831,1.0,-1.0,1.0
1,16:29:17.249250,16:29:27.438712,1.0,-1.0,1.0
1,16:29:17.249250,16:29:27.728167,1.0,-1.0,1.0
1,16:29:17.249250,16:29:27.927314,1.0,-1.0,1.0
1,16:29:17.249250,16:29:28.177500,1.0,-1.0,1.0
1,16:29:17.249250,16:29:28.419896,1.0,-1.0,1.0
1,16:29:17.249250,16:29:28.613403,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:28.844679,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:29.072982,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:29.262445,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:29.485010,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:29.690459,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:29.904139,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:30.127142,-1.0,-1.0,-3.0
1,16:29:17.249250,16:29:30.599482,1.0,-1.0,1.0
1,16:29:17.249250,16:29:30.811598,1.0,-1.0,1.0
1,16:29:17.249250,16:29:31.015605,1.0,-1.0,1.0
1,16:29:17.249250,16:29:31.239597,1.0,-1.0,1.0
1,16:29:17.249250,16:29:31.465393,1.0,-1.0,1.0
1,16:29:17.249250,16:29:31.673500,1.0,-1.0,1.0
1,16:29:17.249250,16:29:31.896038,1.0,-1.0,1.0
1,16:29:17.249250,16:29:32.127739,1.0,-1.0,1.0
1,16:29:17.249250,16:29:32.361046,1.0,-1.0,1.0
1,16:29:17.249250,16:29:32.584741,1.0,-1.0,1.0
