Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,15:40:45.985211,15:40:48.241554,-1.0,-1.0,-1.0
1,15:40:45.985211,15:40:48.850888,-1.0,-1.0,-1.0
1,15:40:45.985211,15:40:49.871773,1.0,-1.0,1.0
1,15:40:45.985211,15:40:50.169246,1.0,-1.0,1.0
1,15:40:45.985211,15:40:50.898060,1.0,-1.0,1.0
1,15:40:45.985211,15:40:51.146569,1.0,-1.0,1.0
1,15:40:45.985211,15:40:51.399378,1.0,-1.0,1.0
1,15:40:45.985211,15:40:51.695853,1.0,-1.0,1.0
1,15:40:45.985211,15:40:51.904240,1.0,-1.0,1.0
1,15:40:45.985211,15:40:52.119918,1.0,-1.0,1.0
1,15:40:45.985211,15:40:52.324923,1.0,-1.0,1.0
1,15:40:45.985211,15:40:52.540114,1.0,-1.0,1.0
1,15:40:45.985211,15:40:52.720560,1.0,-1.0,1.0
1,15:40:45.985211,15:40:52.911764,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.072964,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.259992,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.462832,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.623233,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.806317,1.0,-1.0,1.0
1,15:40:45.985211,15:40:53.977622,1.0,-1.0,1.0
1,15:40:45.985211,15:40:56.461678,1.0,-1.0,1.0
1,15:40:45.985211,15:40:57.007992,1.0,-1.0,1.0
1,15:40:45.985211,15:40:59.370475,-1.0,-1.0,-1.0
1,15:40:45.985211,15:40:59.671658,-1.0,-1.0,-1.0
1,15:40:45.985211,15:40:59.899455,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:00.123615,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:00.309873,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:00.526468,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:00.699090,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:01.028800,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:01.150501,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:01.361082,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:01.900213,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:02.304777,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:02.498988,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:02.703335,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:03.277978,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:03.497360,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:03.682320,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:04.220542,-1.0,-1.0,-1.0
1,15:40:45.985211,15:41:04.559496,-1.0,-1.0,-1.0
