Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:51:38.819570,15:51:40.363179,-1.0,-1.0
1,15:51:38.819570,15:51:40.657100,-1.0,-1.0
1,15:51:38.819570,15:51:41.130777,1.0,-1.0
1,15:51:38.819570,15:51:41.428652,1.0,-1.0
1,15:51:38.819570,15:51:41.640563,1.0,-1.0
1,15:51:38.819570,15:51:41.933665,1.0,-1.0
1,15:51:38.819570,15:51:42.150367,1.0,-1.0
1,15:51:38.819570,15:51:42.385445,1.0,-1.0
1,15:51:38.819570,15:51:42.677679,1.0,-1.0
1,15:51:38.819570,15:51:42.888486,1.0,-1.0
1,15:51:38.819570,15:51:43.101770,1.0,-1.0
1,15:51:38.819570,15:51:43.400283,1.0,-1.0
1,15:51:38.819570,15:51:43.689992,1.0,-1.0
1,15:51:38.819570,15:51:43.888830,1.0,-1.0
1,15:51:38.819570,15:51:44.133911,1.0,-1.0
1,15:51:38.819570,15:51:44.353696,1.0,-1.0
1,15:51:38.819570,15:51:44.601251,1.0,-1.0
1,15:51:38.819570,15:51:44.895393,1.0,-1.0
1,15:51:38.819570,15:51:45.137744,1.0,-1.0
1,15:51:38.819570,15:51:45.433391,1.0,-1.0
1,15:51:38.819570,15:51:45.663475,1.0,-1.0
1,15:51:38.819570,15:51:45.954399,1.0,-1.0
1,15:51:38.819570,15:51:46.186678,1.0,-1.0
1,15:51:38.819570,15:51:46.430500,1.0,-1.0
1,15:51:38.819570,15:51:46.725919,1.0,-1.0
1,15:51:38.819570,15:51:46.971214,1.0,-1.0
1,15:51:38.819570,15:51:47.259879,1.0,-1.0
1,15:51:38.819570,15:51:47.550199,1.0,-1.0
1,15:51:38.819570,15:51:47.833127,1.0,-1.0
1,15:51:38.819570,15:51:48.123253,1.0,-1.0
1,15:51:38.819570,15:51:48.416227,1.0,-1.0
1,15:51:38.819570,15:51:48.701052,1.0,-1.0
1,15:51:38.819570,15:51:48.984588,1.0,-1.0
1,15:51:38.819570,15:51:49.226727,-1.0,-1.0
1,15:51:38.819570,15:51:49.522975,-1.0,-1.0
1,15:51:38.819570,15:51:49.806493,-1.0,-1.0
1,15:51:38.819570,15:51:50.094927,-1.0,-1.0
1,15:51:38.819570,15:51:50.319958,-1.0,-1.0
1,15:51:38.819570,15:51:50.567205,-1.0,-1.0
1,15:51:38.819570,15:51:50.863327,-1.0,-1.0
1,15:51:38.819570,15:51:51.084057,-1.0,-1.0
1,15:51:38.819570,15:51:51.330322,-1.0,-1.0
1,15:51:38.819570,15:51:51.624183,-1.0,-1.0
1,15:51:38.819570,15:51:51.824866,-1.0,-1.0
1,15:51:38.819570,15:51:52.117779,-1.0,-1.0
1,15:51:38.819570,15:51:52.347810,-1.0,-1.0
1,15:51:38.819570,15:51:52.592314,1.0,-1.0
1,15:51:38.819570,15:51:52.803490,1.0,-1.0
1,15:51:38.819570,15:51:52.995367,1.0,-1.0
1,15:51:38.819570,15:51:53.209630,1.0,-1.0
1,15:51:38.819570,15:51:53.423725,1.0,-1.0
1,15:51:38.819570,15:51:53.629027,1.0,-1.0
1,15:51:38.819570,15:51:53.865355,1.0,-1.0
1,15:51:38.819570,15:51:54.056497,1.0,-1.0
1,15:51:38.819570,15:51:54.281908,1.0,-1.0
1,15:51:38.819570,15:51:54.516750,1.0,-1.0
1,15:51:38.819570,15:51:54.761092,1.0,-1.0
1,15:51:38.819570,15:51:54.983859,1.0,-1.0
1,15:51:38.819570,15:51:55.188132,1.0,-1.0
1,15:51:38.819570,15:51:55.401429,1.0,-1.0
1,15:51:38.819570,15:51:55.636801,1.0,-1.0
1,15:51:38.819570,15:51:55.848834,1.0,-1.0
1,15:51:38.819570,15:51:56.141621,1.0,-1.0
1,15:51:38.819570,15:51:56.363265,1.0,-1.0
1,15:51:38.819570,15:51:56.597006,1.0,-1.0
1,15:51:38.819570,15:51:56.833949,1.0,-1.0
1,15:51:38.819570,15:51:57.078066,1.0,-1.0
1,15:51:38.819570,15:51:57.326613,1.0,-1.0
1,15:51:38.819570,15:51:57.622080,1.0,-1.0
1,15:51:38.819570,15:51:57.835000,1.0,-1.0
1,15:51:38.819570,15:51:58.132196,1.0,-1.0
1,15:51:38.819570,15:51:58.355792,1.0,-1.0
1,15:51:38.819570,15:51:58.651561,1.0,-1.0
1,15:51:38.819570,15:51:58.870803,1.0,-1.0
1,15:51:38.819570,15:51:59.166459,1.0,-1.0
1,15:51:38.819570,15:51:59.280383,-1.0,-1.0
1,15:51:38.819570,15:51:59.573139,-1.0,-1.0
1,15:51:38.819570,15:51:59.802857,-1.0,-1.0
1,15:51:38.819570,15:52:00.029844,-1.0,-1.0
1,15:51:38.819570,15:52:00.478915,-1.0,-1.0
1,15:51:38.819570,15:52:00.693017,-1.0,-1.0
1,15:51:38.819570,15:52:00.989043,1.0,-1.0
1,15:51:38.819570,15:52:01.180888,1.0,-1.0
1,15:51:38.819570,15:52:01.481939,-1.0,-1.0
1,15:51:38.819570,15:52:01.685154,-1.0,-1.0
1,15:51:38.819570,15:52:01.895361,-1.0,-1.0
1,15:51:38.819570,15:52:02.087503,1.0,-1.0
1,15:51:38.819570,15:52:02.311361,1.0,-1.0
1,15:51:38.819570,15:52:02.503289,1.0,-1.0
1,15:51:38.819570,15:52:02.717296,1.0,-1.0
1,15:51:38.819570,15:52:02.941280,1.0,-1.0
1,15:51:38.819570,15:52:03.127777,1.0,-1.0
1,15:51:38.819570,15:52:03.310352,1.0,-1.0
1,15:51:38.819570,15:52:03.524115,1.0,-1.0
1,15:51:38.819570,15:52:03.717030,1.0,-1.0
1,15:51:38.819570,15:52:03.961966,1.0,-1.0
1,15:51:38.819570,15:52:04.186750,1.0,-1.0
1,15:51:38.819570,15:52:04.413139,1.0,-1.0
1,15:51:38.819570,15:52:04.716396,1.0,-1.0
1,15:51:38.819570,15:52:04.925241,1.0,-1.0
1,15:51:38.819570,15:52:05.174316,1.0,-1.0
1,15:51:38.819570,15:52:05.410133,1.0,-1.0
1,15:51:38.819570,15:52:05.645280,1.0,-1.0
1,15:51:38.819570,15:52:05.937437,1.0,-1.0
1,15:51:38.819570,15:52:06.181588,1.0,-1.0
1,15:51:38.819570,15:52:06.469379,1.0,-1.0
1,15:51:38.819570,15:52:06.699936,1.0,-1.0
1,15:51:38.819570,15:52:07.002280,1.0,-1.0
1,15:51:38.819570,15:52:07.296364,1.0,-1.0
1,15:51:38.819570,15:52:07.527889,1.0,-1.0
1,15:51:38.819570,15:52:07.828083,1.0,-1.0
1,15:51:38.819570,15:52:08.120068,1.0,-1.0
1,15:51:38.819570,15:52:08.319219,1.0,-1.0
1,15:51:38.819570,15:52:08.616645,1.0,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:52:08.633239,15:52:15.997091,-1.0,-1.0
2,15:52:08.633239,15:52:16.549710,1.0,-1.0
2,15:52:08.633239,15:52:16.751454,1.0,-1.0
2,15:52:08.633239,15:52:17.080869,-1.0,-1.0
2,15:52:08.633239,15:52:17.802947,-1.0,-1.0
2,15:52:08.633239,15:52:18.092219,-1.0,-1.0
2,15:52:08.633239,15:52:18.298965,1.0,-1.0
2,15:52:08.633239,15:52:18.510426,1.0,-1.0
2,15:52:08.633239,15:52:18.707552,1.0,-1.0
2,15:52:08.633239,15:52:18.932252,1.0,-1.0
2,15:52:08.633239,15:52:19.166982,1.0,-1.0
2,15:52:08.633239,15:52:19.349261,1.0,-1.0
