Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,15:34:21.311189,15:34:25.819566,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:27.401496,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:28.025305,1.0,-1.0,1.0
1,15:34:21.311189,15:34:29.137765,1.0,-1.0,1.0
1,15:34:21.311189,15:34:29.382543,1.0,-1.0,1.0
1,15:34:21.311189,15:34:29.575093,1.0,-1.0,1.0
1,15:34:21.311189,15:34:38.578402,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:39.602278,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:40.414932,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:40.944106,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:41.492817,1.0,-1.0,1.0
1,15:34:21.311189,15:34:41.851471,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:42.195355,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:42.731218,1.0,-1.0,1.0
1,15:34:21.311189,15:34:42.960577,1.0,-1.0,1.0
1,15:34:21.311189,15:34:43.489777,1.0,-1.0,1.0
1,15:34:21.311189,15:34:44.017415,1.0,-1.0,1.0
1,15:34:21.311189,15:34:44.308839,1.0,-1.0,1.0
1,15:34:21.311189,15:34:44.542348,1.0,-1.0,1.0
1,15:34:21.311189,15:34:44.834510,1.0,-1.0,1.0
1,15:34:21.311189,15:34:45.125484,1.0,-1.0,1.0
1,15:34:21.311189,15:34:46.336239,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:46.635549,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:46.854734,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:47.087718,-1.0,-1.0,-1.0
1,15:34:21.311189,15:34:47.315838,1.0,-1.0,1.0
1,15:34:21.311189,15:34:47.510353,1.0,-1.0,1.0
1,15:34:21.311189,15:34:47.723279,1.0,-1.0,1.0
1,15:34:21.311189,15:34:47.896281,1.0,-1.0,1.0
1,15:34:21.311189,15:34:48.036184,1.0,-1.0,1.0
1,15:34:21.311189,15:34:48.424727,1.0,-1.0,1.0
1,15:34:21.311189,15:34:48.669875,1.0,-1.0,1.0
1,15:34:21.311189,15:34:48.823477,1.0,-1.0,1.0
1,15:34:21.311189,15:34:48.993454,1.0,-1.0,1.0
1,15:34:21.311189,15:34:49.163182,1.0,-1.0,1.0
1,15:34:21.311189,15:34:49.335250,1.0,-1.0,1.0
1,15:34:21.311189,15:34:49.526314,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,15:34:55.381083,15:34:59.324988,1.0,-1.0,1.0
2,15:34:55.381083,15:34:59.618007,1.0,-1.0,1.0
2,15:34:55.381083,15:35:00.483534,1.0,-1.0,1.0
2,15:34:55.381083,15:35:01.928537,1.0,-1.0,1.0
2,15:34:55.381083,15:35:02.153235,1.0,-1.0,1.0
2,15:34:55.381083,15:35:02.931612,1.0,-1.0,1.0
2,15:34:55.381083,15:35:05.605466,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:05.844535,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:06.086908,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:06.331434,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:06.523359,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:06.748201,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:07.086697,1.0,-1.0,1.0
2,15:34:55.381083,15:35:07.376339,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:07.850829,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:08.053348,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:08.348715,1.0,-1.0,1.0
2,15:34:55.381083,15:35:08.642679,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:08.852070,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:09.261627,1.0,-1.0,1.0
2,15:34:55.381083,15:35:09.475251,1.0,-1.0,1.0
2,15:34:55.381083,15:35:09.658668,1.0,-1.0,1.0
2,15:34:55.381083,15:35:09.827268,1.0,-1.0,1.0
2,15:34:55.381083,15:35:09.998873,1.0,-1.0,1.0
2,15:34:55.381083,15:35:10.179035,1.0,-1.0,1.0
2,15:34:55.381083,15:35:10.371625,1.0,-1.0,1.0
2,15:34:55.381083,15:35:11.541868,1.0,-1.0,1.0
2,15:34:55.381083,15:35:11.713404,1.0,-1.0,1.0
2,15:34:55.381083,15:35:11.883525,1.0,-1.0,1.0
2,15:34:55.381083,15:35:12.053344,1.0,-1.0,1.0
2,15:34:55.381083,15:35:12.244602,1.0,-1.0,1.0
2,15:34:55.381083,15:35:12.418535,1.0,-1.0,1.0
2,15:34:55.381083,15:35:12.577277,1.0,-1.0,1.0
2,15:34:55.381083,15:35:14.468615,1.0,-1.0,1.0
2,15:34:55.381083,15:35:16.316023,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:16.699397,-1.0,-1.0,-1.0
2,15:34:55.381083,15:35:17.021031,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.195229,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.364176,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.514174,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.675838,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.824502,1.0,-1.0,1.0
2,15:34:55.381083,15:35:17.960712,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.119132,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.286491,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.446107,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.607604,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.775003,1.0,-1.0,1.0
2,15:34:55.381083,15:35:18.938035,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.098912,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.280143,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.439680,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.619059,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.779494,1.0,-1.0,1.0
2,15:34:55.381083,15:35:19.960456,1.0,-1.0,1.0
2,15:34:55.381083,15:35:20.133169,1.0,-1.0,1.0
2,15:34:55.381083,15:35:20.428344,1.0,-1.0,1.0
2,15:34:55.381083,15:35:20.554452,1.0,-1.0,1.0
