Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:55:42.695607,16:55:46.066087,1.0,-1.0,1.0
1,16:55:42.695607,16:55:47.735532,1.0,-1.0,1.0
1,16:55:42.695607,16:55:48.115343,1.0,-1.0,1.0
1,16:55:42.695607,16:55:48.316555,1.0,-1.0,1.0
1,16:55:42.695607,16:55:48.488455,1.0,-1.0,1.0
1,16:55:42.695607,16:55:48.679562,1.0,-1.0,1.0
1,16:55:42.695607,16:55:48.886071,1.0,-1.0,1.0
1,16:55:42.695607,16:55:49.090641,1.0,-1.0,1.0
1,16:55:42.695607,16:55:49.278926,1.0,-1.0,1.0
1,16:55:42.695607,16:55:49.453954,1.0,-1.0,1.0
1,16:55:42.695607,16:55:49.637895,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.173071,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.248988,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.378420,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.509204,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.626332,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.745668,1.0,-1.0,1.0
1,16:55:42.695607,16:55:50.883557,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.118906,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.254692,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.385819,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.515442,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.644519,1.0,-1.0,1.0
1,16:55:42.695607,16:55:51.939180,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.095944,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.232230,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.526361,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.620867,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.802308,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:52.987339,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:53.165180,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:53.330681,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:53.534562,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:56.543292,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:56.780023,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:57.388652,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:57.708797,-1.0,-1.0,-1.0
1,16:55:42.695607,16:55:57.849183,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.187693,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.336997,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.478132,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.616996,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.756250,1.0,-1.0,1.0
1,16:55:42.695607,16:55:58.906609,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.067023,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.227835,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.398867,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.560576,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.720080,1.0,-1.0,1.0
1,16:55:42.695607,16:55:59.903026,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.065627,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.204715,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.344181,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.473732,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.625956,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.765760,1.0,-1.0,1.0
1,16:55:42.695607,16:56:00.907706,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.060584,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.235295,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.355717,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.505911,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.658441,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.819035,1.0,-1.0,1.0
1,16:55:42.695607,16:56:01.980985,1.0,-1.0,1.0
1,16:55:42.695607,16:56:02.120799,1.0,-1.0,1.0
1,16:55:42.695607,16:56:02.263191,1.0,-1.0,1.0
1,16:55:42.695607,16:56:02.393072,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:02.565180,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:02.749529,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:02.902199,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.072416,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.229610,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.398675,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.695095,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.854629,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:03.979183,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:04.226388,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:04.383228,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:04.576609,1.0,-1.0,1.0
1,16:55:42.695607,16:56:04.694305,1.0,-1.0,1.0
1,16:55:42.695607,16:56:04.925483,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:05.115774,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:05.294880,-1.0,-1.0,-1.0
1,16:55:42.695607,16:56:05.530852,1.0,-1.0,1.0
1,16:55:42.695607,16:56:05.697694,1.0,-1.0,1.0
