Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:08:48.282038,17:08:50.096057,-1.0,-1.0,-3.0
1,17:08:48.282038,17:08:50.397152,-1.0,-1.0,-3.0
1,17:08:48.282038,17:08:50.775004,1.0,-1.0,1.0
1,17:08:48.282038,17:08:51.939304,1.0,-1.0,1.0
1,17:08:48.282038,17:08:52.262509,1.0,-1.0,1.0
1,17:08:48.282038,17:08:52.807191,1.0,-1.0,1.0
1,17:08:48.282038,17:08:54.380270,1.0,-1.0,1.0
1,17:08:48.282038,17:08:54.678785,1.0,-1.0,1.0
1,17:08:48.282038,17:08:54.900937,1.0,-1.0,1.0
1,17:08:48.282038,17:08:55.193011,1.0,-1.0,1.0
1,17:08:48.282038,17:08:58.393475,1.0,-1.0,1.0
1,17:08:48.282038,17:09:01.155263,-1.0,-1.0,-3.0
1,17:08:48.282038,17:09:01.709877,-1.0,-1.0,-3.0
1,17:08:48.282038,17:09:02.100336,-1.0,-1.0,-3.0
1,17:08:48.282038,17:09:02.642774,-1.0,-1.0,-3.0
1,17:08:48.282038,17:09:03.185187,1.0,-1.0,1.0
1,17:08:48.282038,17:09:03.840890,1.0,-1.0,1.0
1,17:08:48.282038,17:09:04.234855,1.0,-1.0,1.0
1,17:08:48.282038,17:09:05.063076,1.0,-1.0,1.0
1,17:08:48.282038,17:09:06.970302,1.0,-1.0,1.0
1,17:08:48.282038,17:09:09.640437,-1.0,-1.0,-3.0
1,17:08:48.282038,17:09:10.507441,1.0,-1.0,1.0
1,17:08:48.282038,17:09:11.165370,1.0,-1.0,1.0
1,17:08:48.282038,17:09:11.787967,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:09:19.349078,17:09:20.779961,1.0,-1.0,1.0
2,17:09:19.349078,17:09:21.310759,1.0,-1.0,1.0
2,17:09:19.349078,17:09:21.599201,1.0,-1.0,1.0
2,17:09:19.349078,17:09:27.104995,1.0,-1.0,1.0
2,17:09:19.349078,17:09:29.178614,-1.0,-1.0,-3.0
2,17:09:19.349078,17:09:29.794297,1.0,-1.0,1.0
2,17:09:19.349078,17:09:30.242824,1.0,-1.0,1.0
2,17:09:19.349078,17:09:33.715429,1.0,-1.0,1.0
2,17:09:19.349078,17:09:34.403236,-1.0,-1.0,-3.0
2,17:09:19.349078,17:09:35.307447,1.0,-1.0,1.0
2,17:09:19.349078,17:09:36.170170,1.0,-1.0,1.0
2,17:09:19.349078,17:09:36.385086,1.0,-1.0,1.0
2,17:09:19.349078,17:09:36.678053,1.0,-1.0,1.0
2,17:09:19.349078,17:09:36.870298,1.0,-1.0,1.0
2,17:09:19.349078,17:09:37.116526,1.0,-1.0,1.0
2,17:09:19.349078,17:09:37.338637,1.0,-1.0,1.0
2,17:09:19.349078,17:09:37.578055,1.0,-1.0,1.0
2,17:09:19.349078,17:09:37.801568,1.0,-1.0,1.0
2,17:09:19.349078,17:09:38.008794,1.0,-1.0,1.0
2,17:09:19.349078,17:09:38.220291,1.0,-1.0,1.0
2,17:09:19.349078,17:09:38.423992,1.0,-1.0,1.0
2,17:09:19.349078,17:09:38.616740,1.0,-1.0,1.0
2,17:09:19.349078,17:09:38.819020,1.0,-1.0,1.0
2,17:09:19.349078,17:09:39.031286,1.0,-1.0,1.0
2,17:09:19.349078,17:09:39.256198,1.0,-1.0,1.0
2,17:09:19.349078,17:09:39.437842,1.0,-1.0,1.0
2,17:09:19.349078,17:09:39.740048,1.0,-1.0,1.0
2,17:09:19.349078,17:09:39.890714,1.0,-1.0,1.0
2,17:09:19.349078,17:09:40.114608,1.0,-1.0,1.0
2,17:09:19.349078,17:09:40.404381,1.0,-1.0,1.0
2,17:09:19.349078,17:09:40.586656,1.0,-1.0,1.0
2,17:09:19.349078,17:09:40.817370,1.0,-1.0,1.0
2,17:09:19.349078,17:09:41.027971,1.0,-1.0,1.0
2,17:09:19.349078,17:09:41.267800,1.0,-1.0,1.0
2,17:09:19.349078,17:09:41.494634,1.0,-1.0,1.0
2,17:09:19.349078,17:09:41.730018,1.0,-1.0,1.0
2,17:09:19.349078,17:09:42.022655,1.0,-1.0,1.0
2,17:09:19.349078,17:09:42.170031,1.0,-1.0,1.0
2,17:09:19.349078,17:09:42.387901,1.0,-1.0,1.0
2,17:09:19.349078,17:09:42.622037,1.0,-1.0,1.0
2,17:09:19.349078,17:09:42.835640,1.0,-1.0,1.0
2,17:09:19.349078,17:09:43.079185,1.0,-1.0,1.0
2,17:09:19.349078,17:09:43.303491,1.0,-1.0,1.0
2,17:09:19.349078,17:09:43.600981,1.0,-1.0,1.0
2,17:09:19.349078,17:09:43.821529,1.0,-1.0,1.0
2,17:09:19.349078,17:09:44.115236,1.0,-1.0,1.0
2,17:09:19.349078,17:09:44.365474,1.0,-1.0,1.0
2,17:09:19.349078,17:09:44.600472,1.0,-1.0,1.0
2,17:09:19.349078,17:09:44.896227,1.0,-1.0,1.0
2,17:09:19.349078,17:09:45.188971,1.0,-1.0,1.0
2,17:09:19.349078,17:09:45.484057,1.0,-1.0,1.0
2,17:09:19.349078,17:09:45.693776,1.0,-1.0,1.0
2,17:09:19.349078,17:09:45.981395,1.0,-1.0,1.0
2,17:09:19.349078,17:09:46.172186,1.0,-1.0,1.0
2,17:09:19.349078,17:09:46.421625,1.0,-1.0,1.0
2,17:09:19.349078,17:09:46.664796,1.0,-1.0,1.0
2,17:09:19.349078,17:09:46.953295,1.0,-1.0,1.0
2,17:09:19.349078,17:09:47.248782,1.0,-1.0,1.0
