Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:19:33.090540,16:19:34.641166,1.0,-1.0,1.0
1,16:19:33.090540,16:19:35.108489,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:35.418781,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:35.791507,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:36.669809,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:37.031720,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:37.591783,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:38.111344,1.0,-1.0,1.0
1,16:19:33.090540,16:19:38.415110,1.0,-1.0,1.0
1,16:19:33.090540,16:19:38.941556,1.0,-1.0,1.0
1,16:19:33.090540,16:19:39.589386,1.0,-1.0,1.0
1,16:19:33.090540,16:19:39.897542,1.0,-1.0,1.0
1,16:19:33.090540,16:19:41.321628,1.0,-1.0,1.0
1,16:19:33.090540,16:19:45.405416,1.0,-1.0,1.0
1,16:19:33.090540,16:19:47.006317,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:47.376865,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:47.777943,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:48.318936,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:48.968951,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:49.433049,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:50.046554,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:50.620565,1.0,-1.0,1.0
1,16:19:33.090540,16:19:51.037383,1.0,-1.0,1.0
1,16:19:33.090540,16:19:51.375141,1.0,-1.0,1.0
1,16:19:33.090540,16:19:51.736494,1.0,-1.0,1.0
1,16:19:33.090540,16:19:53.140168,1.0,-1.0,1.0
1,16:19:33.090540,16:19:53.562649,1.0,-1.0,1.0
1,16:19:33.090540,16:19:53.798379,1.0,-1.0,1.0
1,16:19:33.090540,16:19:54.016056,1.0,-1.0,1.0
1,16:19:33.090540,16:19:54.303657,1.0,-1.0,1.0
1,16:19:33.090540,16:19:54.869523,1.0,-1.0,1.0
1,16:19:33.090540,16:19:55.099560,1.0,-1.0,1.0
1,16:19:33.090540,16:19:55.333179,1.0,-1.0,1.0
1,16:19:33.090540,16:19:55.618380,1.0,-1.0,1.0
1,16:19:33.090540,16:19:55.850423,1.0,-1.0,1.0
1,16:19:33.090540,16:19:56.137469,1.0,-1.0,1.0
1,16:19:33.090540,16:19:56.705314,1.0,-1.0,1.0
1,16:19:33.090540,16:19:56.992111,1.0,-1.0,1.0
1,16:19:33.090540,16:19:57.642963,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:57.937978,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:58.090281,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:58.289483,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:58.476832,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:58.657582,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:58.859830,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:59.041569,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:59.261647,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:59.455311,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:59.667657,-1.0,-1.0,-1.0
1,16:19:33.090540,16:19:59.893338,-1.0,-1.0,-1.0
1,16:19:33.090540,16:20:00.080340,-1.0,-1.0,-1.0
1,16:19:33.090540,16:20:00.460350,-1.0,-1.0,-1.0
1,16:19:33.090540,16:20:00.763810,-1.0,-1.0,-1.0
1,16:19:33.090540,16:20:01.081682,1.0,-1.0,1.0
1,16:19:33.090540,16:20:01.319477,1.0,-1.0,1.0
1,16:19:33.090540,16:20:01.541105,1.0,-1.0,1.0
1,16:19:33.090540,16:20:01.753286,1.0,-1.0,1.0
1,16:19:33.090540,16:20:01.963257,1.0,-1.0,1.0
1,16:19:33.090540,16:20:02.187778,1.0,-1.0,1.0
1,16:19:33.090540,16:20:02.476412,1.0,-1.0,1.0
1,16:19:33.090540,16:20:02.686395,1.0,-1.0,1.0
1,16:19:33.090540,16:20:02.919847,1.0,-1.0,1.0
1,16:19:33.090540,16:20:03.142047,1.0,-1.0,1.0
1,16:19:33.090540,16:20:03.384092,1.0,-1.0,1.0
1,16:19:33.090540,16:20:03.616635,1.0,-1.0,1.0
1,16:19:33.090540,16:20:03.856525,1.0,-1.0,1.0
1,16:19:33.090540,16:20:04.148639,1.0,-1.0,1.0
1,16:19:33.090540,16:20:04.347800,1.0,-1.0,1.0
1,16:19:33.090540,16:20:04.568305,1.0,-1.0,1.0
1,16:19:33.090540,16:20:04.852442,1.0,-1.0,1.0
1,16:19:33.090540,16:20:05.080071,1.0,-1.0,1.0
1,16:19:33.090540,16:20:05.319013,1.0,-1.0,1.0
1,16:19:33.090540,16:20:05.541673,1.0,-1.0,1.0
1,16:19:33.090540,16:20:05.776808,1.0,-1.0,1.0
1,16:19:33.090540,16:20:06.021241,1.0,-1.0,1.0
1,16:19:33.090540,16:20:06.234291,1.0,-1.0,1.0
1,16:19:33.090540,16:20:06.527636,1.0,-1.0,1.0
1,16:19:33.090540,16:20:06.751028,1.0,-1.0,1.0
1,16:19:33.090540,16:20:07.045625,1.0,-1.0,1.0
