Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:03:13.177516,16:03:15.733189,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:16.366215,1.0,-1.0,1.0
1,16:03:13.177516,16:03:16.714787,1.0,-1.0,1.0
1,16:03:13.177516,16:03:17.305724,1.0,-1.0,1.0
1,16:03:13.177516,16:03:17.551905,1.0,-1.0,1.0
1,16:03:13.177516,16:03:18.586646,1.0,-1.0,1.0
1,16:03:13.177516,16:03:19.253303,1.0,-1.0,1.0
1,16:03:13.177516,16:03:19.557368,1.0,-1.0,1.0
1,16:03:13.177516,16:03:19.790478,1.0,-1.0,1.0
1,16:03:13.177516,16:03:21.711787,1.0,-1.0,1.0
1,16:03:13.177516,16:03:24.565798,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:24.873527,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:25.105212,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:25.329138,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:25.563306,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:25.786550,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:26.019628,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:26.326142,1.0,-1.0,1.0
1,16:03:13.177516,16:03:26.517958,1.0,-1.0,1.0
1,16:03:13.177516,16:03:26.720119,1.0,-1.0,1.0
1,16:03:13.177516,16:03:26.931295,1.0,-1.0,1.0
1,16:03:13.177516,16:03:27.110924,1.0,-1.0,1.0
1,16:03:13.177516,16:03:27.334849,1.0,-1.0,1.0
1,16:03:13.177516,16:03:27.545645,1.0,-1.0,1.0
1,16:03:13.177516,16:03:27.745316,1.0,-1.0,1.0
1,16:03:13.177516,16:03:27.957635,1.0,-1.0,1.0
1,16:03:13.177516,16:03:28.169281,1.0,-1.0,1.0
1,16:03:13.177516,16:03:28.389334,1.0,-1.0,1.0
1,16:03:13.177516,16:03:28.601391,1.0,-1.0,1.0
1,16:03:13.177516,16:03:28.832504,1.0,-1.0,1.0
1,16:03:13.177516,16:03:29.044643,1.0,-1.0,1.0
1,16:03:13.177516,16:03:29.257988,1.0,-1.0,1.0
1,16:03:13.177516,16:03:29.502015,1.0,-1.0,1.0
1,16:03:13.177516,16:03:29.722712,1.0,-1.0,1.0
1,16:03:13.177516,16:03:30.284297,1.0,-1.0,1.0
1,16:03:13.177516,16:03:30.592071,1.0,-1.0,1.0
1,16:03:13.177516,16:03:30.726386,1.0,-1.0,1.0
1,16:03:13.177516,16:03:31.203039,1.0,-1.0,1.0
1,16:03:13.177516,16:03:32.238553,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:32.701305,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:32.922552,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:33.145241,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:33.366028,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:33.581207,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:33.770844,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:33.972590,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:34.195167,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:34.428489,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:34.638740,-1.0,-1.0,-1.0
1,16:03:13.177516,16:03:34.820216,-1.0,-1.0,-1.0
