Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,13:46:02.034670,13:46:07.147441,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:10.433298,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:15.866646,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:21.234254,1.0,-1.0,1.0
1,13:46:02.034670,13:46:21.524613,1.0,-1.0,1.0
1,13:46:02.034670,13:46:21.755569,1.0,-1.0,1.0
1,13:46:02.034670,13:46:24.693692,1.0,-1.0,1.0
1,13:46:02.034670,13:46:24.928187,1.0,-1.0,1.0
1,13:46:02.034670,13:46:25.168371,1.0,-1.0,1.0
1,13:46:02.034670,13:46:25.399015,1.0,-1.0,1.0
1,13:46:02.034670,13:46:25.693494,1.0,-1.0,1.0
1,13:46:02.034670,13:46:26.266123,1.0,-1.0,1.0
1,13:46:02.034670,13:46:26.497223,1.0,-1.0,1.0
1,13:46:02.034670,13:46:26.788441,1.0,-1.0,1.0
1,13:46:02.034670,13:46:27.010910,1.0,-1.0,1.0
1,13:46:02.034670,13:46:27.969158,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:28.151538,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:28.318914,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:28.495024,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:28.676366,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:28.865322,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:29.039359,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:29.233936,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:29.426256,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:29.747016,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:29.953029,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:30.134397,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:30.303035,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:30.485635,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:30.651874,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:30.943966,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.097664,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.279798,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.439010,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.608055,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.778706,-1.0,-1.0,-1.0
1,13:46:02.034670,13:46:31.950372,-1.0,-1.0,-1.0
