Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:08:28.318314,17:08:29.690287,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:30.360626,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:31.167628,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:31.498451,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:31.790824,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:32.080157,1.0,-1.0,1.0
1,17:08:28.318314,17:08:32.301528,1.0,-1.0,1.0
1,17:08:28.318314,17:08:32.594768,1.0,-1.0,1.0
1,17:08:28.318314,17:08:32.813755,1.0,-1.0,1.0
1,17:08:28.318314,17:08:33.454955,1.0,-1.0,1.0
1,17:08:28.318314,17:08:33.821911,1.0,-1.0,1.0
1,17:08:28.318314,17:08:34.052996,1.0,-1.0,1.0
1,17:08:28.318314,17:08:34.261048,1.0,-1.0,1.0
1,17:08:28.318314,17:08:34.471500,1.0,-1.0,1.0
1,17:08:28.318314,17:08:34.674521,1.0,-1.0,1.0
1,17:08:28.318314,17:08:34.896883,1.0,-1.0,1.0
1,17:08:28.318314,17:08:35.109660,1.0,-1.0,1.0
1,17:08:28.318314,17:08:35.318907,1.0,-1.0,1.0
1,17:08:28.318314,17:08:35.556678,1.0,-1.0,1.0
1,17:08:28.318314,17:08:35.760779,1.0,-1.0,1.0
1,17:08:28.318314,17:08:35.953894,1.0,-1.0,1.0
1,17:08:28.318314,17:08:36.194876,1.0,-1.0,1.0
1,17:08:28.318314,17:08:36.414761,1.0,-1.0,1.0
1,17:08:28.318314,17:08:36.643900,1.0,-1.0,1.0
1,17:08:28.318314,17:08:36.875704,1.0,-1.0,1.0
1,17:08:28.318314,17:08:37.172336,1.0,-1.0,1.0
1,17:08:28.318314,17:08:37.402672,1.0,-1.0,1.0
1,17:08:28.318314,17:08:37.743012,1.0,-1.0,1.0
1,17:08:28.318314,17:08:38.031088,1.0,-1.0,1.0
1,17:08:28.318314,17:08:38.359958,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:38.586740,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:38.781020,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:38.975257,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:39.145182,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:39.338558,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:39.528251,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:39.722327,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:40.028690,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:40.223994,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:40.403813,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:40.615044,1.0,-1.0,1.0
1,17:08:28.318314,17:08:40.808406,1.0,-1.0,1.0
1,17:08:28.318314,17:08:40.989971,1.0,-1.0,1.0
1,17:08:28.318314,17:08:41.179005,1.0,-1.0,1.0
1,17:08:28.318314,17:08:41.388182,1.0,-1.0,1.0
1,17:08:28.318314,17:08:41.586614,1.0,-1.0,1.0
1,17:08:28.318314,17:08:41.781867,1.0,-1.0,1.0
1,17:08:28.318314,17:08:41.986682,1.0,-1.0,1.0
1,17:08:28.318314,17:08:42.213728,1.0,-1.0,1.0
1,17:08:28.318314,17:08:42.435652,1.0,-1.0,1.0
1,17:08:28.318314,17:08:42.664768,1.0,-1.0,1.0
1,17:08:28.318314,17:08:42.865032,1.0,-1.0,1.0
1,17:08:28.318314,17:08:43.069101,1.0,-1.0,1.0
1,17:08:28.318314,17:08:43.278018,1.0,-1.0,1.0
1,17:08:28.318314,17:08:43.479093,1.0,-1.0,1.0
1,17:08:28.318314,17:08:43.675107,1.0,-1.0,1.0
1,17:08:28.318314,17:08:43.896856,1.0,-1.0,1.0
1,17:08:28.318314,17:08:44.107150,1.0,-1.0,1.0
1,17:08:28.318314,17:08:44.326655,1.0,-1.0,1.0
1,17:08:28.318314,17:08:44.551495,1.0,-1.0,1.0
1,17:08:28.318314,17:08:44.750624,1.0,-1.0,1.0
1,17:08:28.318314,17:08:44.986798,1.0,-1.0,1.0
1,17:08:28.318314,17:08:45.189764,1.0,-1.0,1.0
1,17:08:28.318314,17:08:45.411285,1.0,-1.0,1.0
1,17:08:28.318314,17:08:45.646746,1.0,-1.0,1.0
1,17:08:28.318314,17:08:45.880884,1.0,-1.0,1.0
1,17:08:28.318314,17:08:46.121015,1.0,-1.0,1.0
1,17:08:28.318314,17:08:46.362522,1.0,-1.0,1.0
1,17:08:28.318314,17:08:46.576716,1.0,-1.0,1.0
1,17:08:28.318314,17:08:46.816677,1.0,-1.0,1.0
1,17:08:28.318314,17:08:47.044000,1.0,-1.0,1.0
1,17:08:28.318314,17:08:47.278346,1.0,-1.0,1.0
1,17:08:28.318314,17:08:47.507489,1.0,-1.0,1.0
1,17:08:28.318314,17:08:47.739667,1.0,-1.0,1.0
1,17:08:28.318314,17:08:47.970259,1.0,-1.0,1.0
1,17:08:28.318314,17:08:48.216870,1.0,-1.0,1.0
1,17:08:28.318314,17:08:48.502632,1.0,-1.0,1.0
1,17:08:28.318314,17:08:48.714659,1.0,-1.0,1.0
1,17:08:28.318314,17:08:49.006852,1.0,-1.0,1.0
1,17:08:28.318314,17:08:49.236419,1.0,-1.0,1.0
1,17:08:28.318314,17:08:49.534405,1.0,-1.0,1.0
1,17:08:28.318314,17:08:50.549294,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:50.796684,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:51.042514,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:51.286884,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:51.635534,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:51.866525,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:52.070476,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:52.216687,1.0,-1.0,1.0
1,17:08:28.318314,17:08:52.451794,1.0,-1.0,1.0
1,17:08:28.318314,17:08:52.657540,1.0,-1.0,1.0
1,17:08:28.318314,17:08:52.864089,1.0,-1.0,1.0
1,17:08:28.318314,17:08:53.060749,1.0,-1.0,1.0
1,17:08:28.318314,17:08:53.349280,1.0,-1.0,1.0
1,17:08:28.318314,17:08:53.530700,1.0,-1.0,1.0
1,17:08:28.318314,17:08:53.761980,1.0,-1.0,1.0
1,17:08:28.318314,17:08:53.998928,1.0,-1.0,1.0
1,17:08:28.318314,17:08:54.294851,1.0,-1.0,1.0
1,17:08:28.318314,17:08:54.490554,1.0,-1.0,1.0
1,17:08:28.318314,17:08:54.783186,1.0,-1.0,1.0
1,17:08:28.318314,17:08:55.186744,1.0,-1.0,1.0
1,17:08:28.318314,17:08:55.505293,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:55.846658,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:56.142843,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:56.430610,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:56.669302,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:56.879279,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:57.224682,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:57.515826,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:57.725705,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:58.020425,-1.0,-1.0,-1.0
1,17:08:28.318314,17:08:58.508436,1.0,-1.0,1.0
1,17:08:28.318314,17:08:58.753340,1.0,-1.0,1.0
1,17:08:28.318314,17:08:58.987109,1.0,-1.0,1.0
1,17:08:28.318314,17:08:59.203584,1.0,-1.0,1.0
1,17:08:28.318314,17:08:59.416384,1.0,-1.0,1.0
1,17:08:28.318314,17:08:59.708809,1.0,-1.0,1.0
1,17:08:28.318314,17:08:59.895837,1.0,-1.0,1.0
1,17:08:28.318314,17:09:00.129945,1.0,-1.0,1.0
1,17:08:28.318314,17:09:00.356680,1.0,-1.0,1.0
1,17:08:28.318314,17:09:00.585531,1.0,-1.0,1.0
1,17:08:28.318314,17:09:00.805059,1.0,-1.0,1.0
1,17:08:28.318314,17:09:01.028451,1.0,-1.0,1.0
1,17:08:28.318314,17:09:01.269872,1.0,-1.0,1.0
1,17:08:28.318314,17:09:01.498335,1.0,-1.0,1.0
1,17:08:28.318314,17:09:01.781671,1.0,-1.0,1.0
1,17:08:28.318314,17:09:01.969289,1.0,-1.0,1.0
1,17:08:28.318314,17:09:02.204820,1.0,-1.0,1.0
1,17:08:28.318314,17:09:02.436765,1.0,-1.0,1.0
1,17:08:28.318314,17:09:02.663986,1.0,-1.0,1.0
1,17:08:28.318314,17:09:02.884911,1.0,-1.0,1.0
1,17:08:28.318314,17:09:03.113104,1.0,-1.0,1.0
1,17:08:28.318314,17:09:03.352376,1.0,-1.0,1.0
1,17:08:28.318314,17:09:03.634596,1.0,-1.0,1.0
1,17:08:28.318314,17:09:03.845617,1.0,-1.0,1.0
1,17:08:28.318314,17:09:04.080073,1.0,-1.0,1.0
1,17:08:28.318314,17:09:04.323643,1.0,-1.0,1.0
1,17:08:28.318314,17:09:04.558473,1.0,-1.0,1.0
1,17:08:28.318314,17:09:04.851706,1.0,-1.0,1.0
1,17:08:28.318314,17:09:05.051706,1.0,-1.0,1.0
1,17:08:28.318314,17:09:05.286960,1.0,-1.0,1.0
1,17:08:28.318314,17:09:05.579964,1.0,-1.0,1.0
1,17:08:28.318314,17:09:05.781331,1.0,-1.0,1.0
1,17:08:28.318314,17:09:06.004928,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:09:06.273385,17:09:08.320550,1.0,-1.0,1.0
2,17:09:06.273385,17:09:08.605333,1.0,-1.0,1.0
2,17:09:06.273385,17:09:08.946457,1.0,-1.0,1.0
2,17:09:06.273385,17:09:09.296168,1.0,-1.0,1.0
2,17:09:06.273385,17:09:09.525492,1.0,-1.0,1.0
2,17:09:06.273385,17:09:10.860041,1.0,-1.0,1.0
2,17:09:06.273385,17:09:11.102955,1.0,-1.0,1.0
2,17:09:06.273385,17:09:11.580084,1.0,-1.0,1.0
2,17:09:06.273385,17:09:11.811784,1.0,-1.0,1.0
2,17:09:06.273385,17:09:12.049420,1.0,-1.0,1.0
2,17:09:06.273385,17:09:12.864716,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:13.436622,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:13.618462,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:13.865776,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:14.086741,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:14.315736,-1.0,-1.0,-1.0
2,17:09:06.273385,17:09:14.609440,-1.0,-1.0,-1.0
