Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:07:37.054502,17:07:39.094168,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:39.390278,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:39.811766,1.0,-1.0,1.0
1,17:07:37.054502,17:07:40.456931,1.0,-1.0,1.0
1,17:07:37.054502,17:07:41.178664,1.0,-1.0,1.0
1,17:07:37.054502,17:07:44.269879,1.0,-1.0,1.0
1,17:07:37.054502,17:07:46.991154,1.0,-1.0,1.0
1,17:07:37.054502,17:07:51.398307,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:51.772614,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:52.202853,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:52.682889,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:53.227826,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:53.765421,1.0,-1.0,1.0
1,17:07:37.054502,17:07:57.242698,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:57.781795,-1.0,-1.0,-1.0
1,17:07:37.054502,17:07:58.418243,1.0,-1.0,1.0
1,17:07:37.054502,17:07:59.807513,-1.0,-1.0,-1.0
1,17:07:37.054502,17:08:00.364901,1.0,-1.0,1.0
1,17:07:37.054502,17:08:00.766648,1.0,-1.0,1.0
1,17:07:37.054502,17:08:01.072655,1.0,-1.0,1.0
1,17:07:37.054502,17:08:01.407558,1.0,-1.0,1.0
1,17:07:37.054502,17:08:02.470534,1.0,-1.0,1.0
1,17:07:37.054502,17:08:02.695149,1.0,-1.0,1.0
1,17:07:37.054502,17:08:02.917966,1.0,-1.0,1.0
1,17:07:37.054502,17:08:03.118615,1.0,-1.0,1.0
1,17:07:37.054502,17:08:03.335175,1.0,-1.0,1.0
1,17:07:37.054502,17:08:03.632738,1.0,-1.0,1.0
1,17:07:37.054502,17:08:05.051941,1.0,-1.0,1.0
1,17:07:37.054502,17:08:05.672121,1.0,-1.0,1.0
1,17:07:37.054502,17:08:06.356664,1.0,-1.0,1.0
1,17:07:37.054502,17:08:06.757462,1.0,-1.0,1.0
1,17:07:37.054502,17:08:07.146788,1.0,-1.0,1.0
1,17:07:37.054502,17:08:07.743145,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:08:09.468561,17:08:10.615932,-1.0,-1.0,-1.0
2,17:08:09.468561,17:08:11.201603,1.0,-1.0,1.0
2,17:08:09.468561,17:08:11.551264,1.0,-1.0,1.0
2,17:08:09.468561,17:08:11.942406,1.0,-1.0,1.0
2,17:08:09.468561,17:08:17.200880,1.0,-1.0,1.0
2,17:08:09.468561,17:08:18.464199,-1.0,-1.0,-1.0
2,17:08:09.468561,17:08:19.181076,-1.0,-1.0,-1.0
2,17:08:09.468561,17:08:19.721581,-1.0,-1.0,-1.0
2,17:08:09.468561,17:08:20.199193,-1.0,-1.0,-1.0
2,17:08:09.468561,17:08:20.806340,1.0,-1.0,1.0
2,17:08:09.468561,17:08:22.154751,1.0,-1.0,1.0
2,17:08:09.468561,17:08:22.456015,1.0,-1.0,1.0
2,17:08:09.468561,17:08:22.635872,1.0,-1.0,1.0
2,17:08:09.468561,17:08:23.230376,1.0,-1.0,1.0
2,17:08:09.468561,17:08:23.539471,1.0,-1.0,1.0
2,17:08:09.468561,17:08:27.970305,1.0,-1.0,1.0
2,17:08:09.468561,17:08:29.049082,1.0,-1.0,1.0
2,17:08:09.468561,17:08:29.340636,1.0,-1.0,1.0
2,17:08:09.468561,17:08:33.548304,1.0,-1.0,1.0
