Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:54:12.819326,16:54:14.251714,1.0,-1.0,1.0
1,16:54:12.819326,16:54:15.675921,1.0,-1.0,1.0
1,16:54:12.819326,16:54:15.968861,1.0,-1.0,1.0
1,16:54:12.819326,16:54:16.208620,1.0,-1.0,1.0
1,16:54:12.819326,16:54:16.456763,1.0,-1.0,1.0
1,16:54:12.819326,16:54:16.772611,1.0,-1.0,1.0
1,16:54:12.819326,16:54:17.119912,1.0,-1.0,1.0
1,16:54:12.819326,16:54:19.422547,1.0,-1.0,1.0
1,16:54:12.819326,16:54:21.656598,-1.0,-1.0,-3.0
1,16:54:12.819326,16:54:22.068018,-1.0,-1.0,-3.0
1,16:54:12.819326,16:54:22.705137,-1.0,-1.0,-3.0
1,16:54:12.819326,16:54:23.197009,1.0,-1.0,1.0
1,16:54:12.819326,16:54:23.491216,1.0,-1.0,1.0
1,16:54:12.819326,16:54:23.797209,1.0,-1.0,1.0
1,16:54:12.819326,16:54:24.409013,1.0,-1.0,1.0
1,16:54:12.819326,16:54:24.951045,1.0,-1.0,1.0
1,16:54:12.819326,16:54:25.517823,1.0,-1.0,1.0
1,16:54:12.819326,16:54:25.977062,1.0,-1.0,1.0
1,16:54:12.819326,16:54:26.526849,1.0,-1.0,1.0
1,16:54:12.819326,16:54:27.302747,1.0,-1.0,1.0
1,16:54:12.819326,16:54:28.218271,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,16:54:32.362339,16:54:35.089982,-1.0,-1.0,-3.0
2,16:54:32.362339,16:54:35.487032,-1.0,-1.0,-3.0
2,16:54:32.362339,16:54:36.045160,1.0,-1.0,1.0
2,16:54:32.362339,16:54:37.692650,1.0,-1.0,1.0
2,16:54:32.362339,16:54:38.490292,1.0,-1.0,1.0
2,16:54:32.362339,16:54:40.084458,1.0,-1.0,1.0
2,16:54:32.362339,16:54:40.940041,1.0,-1.0,1.0
2,16:54:32.362339,16:54:45.391488,-1.0,-1.0,-3.0
2,16:54:32.362339,16:54:45.987309,1.0,-1.0,1.0
2,16:54:32.362339,16:54:46.396427,-1.0,-1.0,-3.0
2,16:54:32.362339,16:54:46.824280,1.0,-1.0,1.0
2,16:54:32.362339,16:54:47.227499,1.0,-1.0,1.0
2,16:54:32.362339,16:54:47.763657,1.0,-1.0,1.0
2,16:54:32.362339,16:54:52.816431,1.0,-1.0,1.0
2,16:54:32.362339,16:54:53.941286,1.0,-1.0,1.0
2,16:54:32.362339,16:54:54.358008,1.0,-1.0,1.0
2,16:54:32.362339,16:54:54.561342,1.0,-1.0,1.0
2,16:54:32.362339,16:54:54.776869,1.0,-1.0,1.0
2,16:54:32.362339,16:54:54.936769,1.0,-1.0,1.0
2,16:54:32.362339,16:54:55.229925,1.0,-1.0,1.0
