Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:04:54.314794,17:04:56.535949,1.0,-1.0,1.0
1,17:04:54.314794,17:04:57.126492,-1.0,-1.0,-1.0
1,17:04:54.314794,17:04:57.420695,-1.0,-1.0,-1.0
1,17:04:54.314794,17:04:57.878174,1.0,-1.0,1.0
1,17:04:54.314794,17:04:58.171205,1.0,-1.0,1.0
1,17:04:54.314794,17:04:58.462049,1.0,-1.0,1.0
1,17:04:54.314794,17:05:07.118802,-1.0,-1.0,-1.0
1,17:04:54.314794,17:05:07.812149,-1.0,-1.0,-1.0
1,17:04:54.314794,17:05:08.389898,1.0,-1.0,1.0
1,17:04:54.314794,17:05:09.352160,1.0,-1.0,1.0
1,17:04:54.314794,17:05:11.920642,1.0,-1.0,1.0
1,17:04:54.314794,17:05:16.501022,1.0,-1.0,1.0
1,17:04:54.314794,17:05:16.884419,-1.0,-1.0,-1.0
1,17:04:54.314794,17:05:17.335435,-1.0,-1.0,-1.0
1,17:04:54.314794,17:05:17.946606,1.0,-1.0,1.0
1,17:04:54.314794,17:05:19.453617,1.0,-1.0,1.0
1,17:04:54.314794,17:05:22.004308,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:05:25.413795,17:05:26.695099,1.0,-1.0,1.0
2,17:05:25.413795,17:05:27.802835,1.0,-1.0,1.0
2,17:05:25.413795,17:05:36.348618,-1.0,-1.0,-1.0
2,17:05:25.413795,17:05:37.060909,1.0,-1.0,1.0
2,17:05:25.413795,17:05:42.348015,-1.0,-1.0,-1.0
2,17:05:25.413795,17:05:43.213830,-1.0,-1.0,-1.0
2,17:05:25.413795,17:05:43.646909,1.0,-1.0,1.0
2,17:05:25.413795,17:05:44.795386,1.0,-1.0,1.0
2,17:05:25.413795,17:05:45.493426,1.0,-1.0,1.0
2,17:05:25.413795,17:05:46.511087,1.0,-1.0,1.0
2,17:05:25.413795,17:05:46.912652,1.0,-1.0,1.0
2,17:05:25.413795,17:05:47.910499,1.0,-1.0,1.0
2,17:05:25.413795,17:05:57.506378,-1.0,-1.0,-1.0
2,17:05:25.413795,17:05:58.475693,1.0,-1.0,1.0
2,17:05:25.413795,17:06:00.858879,1.0,-1.0,1.0
2,17:05:25.413795,17:06:04.176404,1.0,-1.0,1.0
2,17:05:25.413795,17:06:06.706838,1.0,-1.0,1.0
2,17:05:25.413795,17:06:07.978171,1.0,-1.0,1.0
