Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:46:57.167169,14:47:01.081489,1,-0.40879147781137704
1,14:46:57.167169,14:47:01.449086,1,-0.5998897102301441
1,14:46:57.167169,14:47:02.048968,1,-0.8727155361325742
1,14:46:57.167169,14:47:02.399604,1,-1.030310306636693
1,14:46:57.167169,14:47:03.072405,-1,-1.2154394914308853
1,14:46:57.167169,14:47:03.364511,-1,-1.3003810914640042
1,14:46:57.167169,14:47:03.895521,-1,-1.3747018564625648
1,14:46:57.167169,14:47:04.093562,-1,-1.386759064249162
1,14:46:57.167169,14:47:04.304884,-1,-0.5806736337333678
1,14:46:57.167169,14:47:04.517282,-1,0.32622663040809813
