Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:43:11.839562,14:43:13.374331,1,-1.0
1,14:43:11.839562,14:43:13.655269,1,-1.0
1,14:43:11.839562,14:43:13.887472,1,-1.0
1,14:43:11.839562,14:43:14.689687,-1,-1.0
1,14:43:11.839562,14:43:14.984809,-1,-1.0
1,14:43:11.839562,14:43:15.218026,-1,-1.0
1,14:43:11.839562,14:43:15.463618,-1,-1.0
1,14:43:11.839562,14:43:15.766518,1,-1.0
1,14:43:11.839562,14:43:16.063445,1,-1.0
1,14:43:11.839562,14:43:16.395486,1,-1.0
1,14:43:11.839562,14:43:16.686022,-1,-1.0
1,14:43:11.839562,14:43:16.990851,-1,-1.0
1,14:43:11.839562,14:43:17.288627,1,-1.0
1,14:43:11.839562,14:43:17.583101,1,-1.0
1,14:43:11.839562,14:43:17.874441,-1,-1.0
1,14:43:11.839562,14:43:18.184501,-1,-1.0
1,14:43:11.839562,14:43:18.498650,1,-1.0
1,14:43:11.839562,14:43:18.731297,-1,-1.0
1,14:43:11.839562,14:43:19.020849,-1,-1.0
1,14:43:11.839562,14:43:19.317156,-1,-1.0
1,14:43:11.839562,14:43:19.429986,1,-1.0
1,14:43:11.839562,14:43:19.736665,1,-1.0
1,14:43:11.839562,14:43:20.034355,1,-1.0
1,14:43:11.839562,14:43:20.247268,-1,-1.0
1,14:43:11.839562,14:43:20.572803,-1,-1.0
1,14:43:11.839562,14:43:20.871534,-1,-1.0
1,14:43:11.839562,14:43:21.093136,1,-1.0
1,14:43:11.839562,14:43:21.387795,1,-1.0
1,14:43:11.839562,14:43:21.618772,1,-1.0
1,14:43:11.839562,14:43:21.865747,1,-1.0
1,14:43:11.839562,14:43:22.163564,1,-1.0
1,14:43:11.839562,14:43:22.392747,-1,-1.0
1,14:43:11.839562,14:43:22.681542,-1,-1.0
1,14:43:11.839562,14:43:22.923998,-1,-1.0
1,14:43:11.839562,14:43:23.222017,-1,-1.0
1,14:43:11.839562,14:43:23.517800,1,-1.0
1,14:43:11.839562,14:43:23.809417,1,-1.0
1,14:43:11.839562,14:43:24.007772,1,-1.0
1,14:43:11.839562,14:43:24.251161,1,-1.0
1,14:43:11.839562,14:43:24.548604,-1,-1.0
1,14:43:11.839562,14:43:24.837915,-1,-1.0
1,14:43:11.839562,14:43:25.061700,-1,-1.0
1,14:43:11.839562,14:43:25.355905,-1,-1.0
1,14:43:11.839562,14:43:25.545168,-1,-1.0
1,14:43:11.839562,14:43:25.789984,1,-1.0
1,14:43:11.839562,14:43:26.087900,1,-1.0
1,14:43:11.839562,14:43:26.297429,1,-1.0
1,14:43:11.839562,14:43:26.545193,1,-1.0
1,14:43:11.839562,14:43:26.755533,1,-1.0
1,14:43:11.839562,14:43:26.894756,-1,-1.0
1,14:43:11.839562,14:43:27.139225,-1,-1.0
1,14:43:11.839562,14:43:27.425867,-1,-1.0
1,14:43:11.839562,14:43:27.648449,-1,-1.0
1,14:43:11.839562,14:43:27.892369,-1,-1.0
1,14:43:11.839562,14:43:28.105172,-1,-1.0
1,14:43:11.839562,14:43:28.287877,1,-1.0
1,14:43:11.839562,14:43:28.531280,1,-1.0
1,14:43:11.839562,14:43:28.778840,1,-1.0
1,14:43:11.839562,14:43:29.076287,1,-1.0
1,14:43:11.839562,14:43:29.274790,1,-1.0
1,14:43:11.839562,14:43:29.608427,-1,-1.0
1,14:43:11.839562,14:43:29.852591,-1,-1.0
1,14:43:11.839562,14:43:30.149141,-1,-1.0
1,14:43:11.839562,14:43:30.373253,-1,-1.0
1,14:43:11.839562,14:43:30.615821,-1,-1.0
1,14:43:11.839562,14:43:30.909518,1,-1.0
1,14:43:11.839562,14:43:31.128589,1,-1.0
1,14:43:11.839562,14:43:31.372928,1,-1.0
1,14:43:11.839562,14:43:31.667952,1,-1.0
1,14:43:11.839562,14:43:31.868793,1,-1.0
1,14:43:11.839562,14:43:32.113356,-1,-1.0
1,14:43:11.839562,14:43:32.409126,-1,-1.0
1,14:43:11.839562,14:43:32.648232,-1,-1.0
1,14:43:11.839562,14:43:32.948666,-1,-1.0
1,14:43:11.839562,14:43:33.158412,-1,-1.0
1,14:43:11.839562,14:43:33.341183,1,-1.0
1,14:43:11.839562,14:43:33.575813,1,-1.0
1,14:43:11.839562,14:43:33.792871,1,-1.0
1,14:43:11.839562,14:43:34.085186,1,-1.0
1,14:43:11.839562,14:43:34.246394,1,-1.0
1,14:43:11.839562,14:43:34.461641,-1,-1.0
1,14:43:11.839562,14:43:34.764063,-1,-1.0
1,14:43:11.839562,14:43:35.051379,-1,-1.0
1,14:43:11.839562,14:43:35.293235,-1,-1.0
1,14:43:11.839562,14:43:35.585640,-1,-1.0
