Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:05:36.200322,15:05:37.654806,-1,-1.0
1,15:05:36.200322,15:05:37.977452,-1,-1.0
1,15:05:36.200322,15:05:38.823684,1,-1.0
1,15:05:36.200322,15:05:39.115872,1,-1.0
1,15:05:36.200322,15:05:39.327316,1,-1.0
1,15:05:36.200322,15:05:39.563807,1,-1.0
1,15:05:36.200322,15:05:39.776276,1,-1.0
1,15:05:36.200322,15:05:39.991418,1,-1.0
1,15:05:36.200322,15:05:40.284606,1,-1.0
1,15:05:36.200322,15:05:40.475026,1,-1.0
1,15:05:36.200322,15:05:40.769193,1,-1.0
1,15:05:36.200322,15:05:40.961129,1,-1.0
1,15:05:36.200322,15:05:41.193676,1,-1.0
1,15:05:36.200322,15:05:41.480869,1,-1.0
1,15:05:36.200322,15:05:41.714684,1,-1.0
1,15:05:36.200322,15:05:41.961681,1,-1.0
1,15:05:36.200322,15:05:42.194887,1,-1.0
1,15:05:36.200322,15:05:42.440281,1,-1.0
1,15:05:36.200322,15:05:42.735041,1,-1.0
1,15:05:36.200322,15:05:42.952187,1,-1.0
1,15:05:36.200322,15:05:43.183247,1,-1.0
1,15:05:36.200322,15:05:43.429352,1,-1.0
1,15:05:36.200322,15:05:43.673232,1,-1.0
1,15:05:36.200322,15:05:43.911874,1,-1.0
1,15:05:36.200322,15:05:44.204785,1,-1.0
1,15:05:36.200322,15:05:44.395987,1,-1.0
1,15:05:36.200322,15:05:44.641040,1,-1.0
1,15:05:36.200322,15:05:44.855814,1,-1.0
1,15:05:36.200322,15:05:45.087157,1,-1.0
1,15:05:36.200322,15:05:45.300383,1,-1.0
1,15:05:36.200322,15:05:45.543531,1,-1.0
1,15:05:36.200322,15:05:45.781233,1,-1.0
1,15:05:36.200322,15:05:46.080641,1,-1.0
1,15:05:36.200322,15:05:46.283050,1,-1.0
1,15:05:36.200322,15:05:46.573063,1,-1.0
1,15:05:36.200322,15:05:46.980953,-1,-1.0
1,15:05:36.200322,15:05:47.445157,1,-1.0
1,15:05:36.200322,15:05:47.760833,-1,-1.0
1,15:05:36.200322,15:05:47.974118,-1,-1.0
1,15:05:36.200322,15:05:48.147595,-1,-1.0
1,15:05:36.200322,15:05:48.347670,-1,-1.0
1,15:05:36.200322,15:05:48.576647,-1,-1.0
1,15:05:36.200322,15:05:48.797659,-1,-1.0
1,15:05:36.200322,15:05:49.015232,-1,-1.0
1,15:05:36.200322,15:05:49.237111,-1,-1.0
1,15:05:36.200322,15:05:49.431753,-1,-1.0
1,15:05:36.200322,15:05:49.664845,-1,-1.0
1,15:05:36.200322,15:05:49.974098,-1,-1.0
1,15:05:36.200322,15:05:50.166105,1,-1.0
1,15:05:36.200322,15:05:50.369811,1,-1.0
1,15:05:36.200322,15:05:50.574811,1,-1.0
1,15:05:36.200322,15:05:50.785974,1,-1.0
1,15:05:36.200322,15:05:51.011968,1,-1.0
1,15:05:36.200322,15:05:51.211072,1,-1.0
1,15:05:36.200322,15:05:51.394339,1,-1.0
1,15:05:36.200322,15:05:51.563354,1,-1.0
1,15:05:36.200322,15:05:51.858189,1,-1.0
1,15:05:36.200322,15:05:52.039449,1,-1.0
1,15:05:36.200322,15:05:52.212893,1,-1.0
1,15:05:36.200322,15:05:52.382037,1,-1.0
1,15:05:36.200322,15:05:52.554613,1,-1.0
1,15:05:36.200322,15:05:52.741748,1,-1.0
1,15:05:36.200322,15:05:52.934906,1,-1.0
1,15:05:36.200322,15:05:53.125006,1,-1.0
1,15:05:36.200322,15:05:53.319946,1,-1.0
1,15:05:36.200322,15:05:53.523041,1,-1.0
1,15:05:36.200322,15:05:53.714385,1,-1.0
1,15:05:36.200322,15:05:54.256154,1,-1.0
1,15:05:36.200322,15:05:54.466096,1,-1.0
1,15:05:36.200322,15:05:54.811310,1,-1.0
1,15:05:36.200322,15:05:55.057803,1,-1.0
1,15:05:36.200322,15:05:55.269221,1,-1.0
1,15:05:36.200322,15:05:55.566266,1,-1.0
1,15:05:36.200322,15:05:55.937193,1,-1.0
1,15:05:36.200322,15:05:56.185832,1,-1.0
1,15:05:36.200322,15:05:56.386251,-1,-1.0
1,15:05:36.200322,15:05:56.672835,-1,-1.0
1,15:05:36.200322,15:05:56.850510,-1,-1.0
1,15:05:36.200322,15:05:57.147654,-1,-1.0
1,15:05:36.200322,15:05:57.348829,-1,-1.0
1,15:05:36.200322,15:05:57.552238,-1,-1.0
1,15:05:36.200322,15:05:57.846373,1,-1.0
1,15:05:36.200322,15:05:58.160494,-1,-1.0
1,15:05:36.200322,15:05:58.374660,-1,-1.0
1,15:05:36.200322,15:05:58.594694,-1,-1.0
1,15:05:36.200322,15:05:58.773954,1,-1.0
1,15:05:36.200322,15:05:58.971416,1,-1.0
1,15:05:36.200322,15:05:59.165172,1,-1.0
1,15:05:36.200322,15:05:59.333428,1,-1.0
1,15:05:36.200322,15:05:59.547700,1,-1.0
1,15:05:36.200322,15:05:59.741501,1,-1.0
1,15:05:36.200322,15:05:59.932196,1,-1.0
1,15:05:36.200322,15:06:00.157471,1,-1.0
1,15:05:36.200322,15:06:00.369241,1,-1.0
1,15:05:36.200322,15:06:00.588770,1,-1.0
1,15:05:36.200322,15:06:00.803968,1,-1.0
1,15:05:36.200322,15:06:01.024290,1,-1.0
1,15:05:36.200322,15:06:01.264309,1,-1.0
1,15:05:36.200322,15:06:01.557863,1,-1.0
1,15:05:36.200322,15:06:01.782624,1,-1.0
1,15:05:36.200322,15:06:02.078418,1,-1.0
1,15:05:36.200322,15:06:02.300849,1,-1.0
1,15:05:36.200322,15:06:02.511203,1,-1.0
1,15:05:36.200322,15:06:02.807305,1,-1.0
1,15:05:36.200322,15:06:03.102856,1,-1.0
1,15:05:36.200322,15:06:03.414717,1,-1.0
1,15:05:36.200322,15:06:03.706330,1,-1.0
1,15:05:36.200322,15:06:04.015129,1,-1.0
1,15:05:36.200322,15:06:04.306800,1,-1.0
1,15:05:36.200322,15:06:04.542027,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:06:04.801619,15:06:06.913744,1,-1.0
2,15:06:04.801619,15:06:07.198694,1,-1.0
2,15:06:04.801619,15:06:07.494535,1,-1.0
2,15:06:04.801619,15:06:07.665857,1,-1.0
2,15:06:04.801619,15:06:07.961983,1,-1.0
2,15:06:04.801619,15:06:08.196413,1,-1.0
2,15:06:04.801619,15:06:08.479773,1,-1.0
2,15:06:04.801619,15:06:08.705882,1,-1.0
2,15:06:04.801619,15:06:08.994936,1,-1.0
2,15:06:04.801619,15:06:09.207183,1,-1.0
2,15:06:04.801619,15:06:09.498707,1,-1.0
2,15:06:04.801619,15:06:09.700070,1,-1.0
2,15:06:04.801619,15:06:09.948472,1,-1.0
2,15:06:04.801619,15:06:10.181198,1,-1.0
2,15:06:04.801619,15:06:10.406987,1,-1.0
2,15:06:04.801619,15:06:10.639555,1,-1.0
2,15:06:04.801619,15:06:10.863081,1,-1.0
2,15:06:04.801619,15:06:11.105164,1,-1.0
2,15:06:04.801619,15:06:11.399354,1,-1.0
2,15:06:04.801619,15:06:11.779784,1,-1.0
2,15:06:04.801619,15:06:12.264661,-1,-1.0
2,15:06:04.801619,15:06:12.553657,-1,-1.0
2,15:06:04.801619,15:06:12.775759,-1,-1.0
2,15:06:04.801619,15:06:13.069759,-1,-1.0
2,15:06:04.801619,15:06:13.270551,-1,-1.0
2,15:06:04.801619,15:06:13.693225,1,-1.0
2,15:06:04.801619,15:06:13.913189,1,-1.0
2,15:06:04.801619,15:06:14.130911,1,-1.0
2,15:06:04.801619,15:06:14.339678,1,-1.0
2,15:06:04.801619,15:06:14.524120,1,-1.0
2,15:06:04.801619,15:06:14.712597,1,-1.0
2,15:06:04.801619,15:06:14.924085,1,-1.0
2,15:06:04.801619,15:06:15.294111,1,-1.0
2,15:06:04.801619,15:06:15.500554,1,-1.0
2,15:06:04.801619,15:06:15.887723,1,-1.0
2,15:06:04.801619,15:06:16.038219,1,-1.0
2,15:06:04.801619,15:06:16.471842,1,-1.0
2,15:06:04.801619,15:06:16.627558,1,-1.0
2,15:06:04.801619,15:06:16.922835,1,-1.0
2,15:06:04.801619,15:06:17.049102,1,-1.0
2,15:06:04.801619,15:06:17.208732,1,-1.0
2,15:06:04.801619,15:06:17.340418,1,-1.0
2,15:06:04.801619,15:06:17.468552,1,-1.0
2,15:06:04.801619,15:06:17.587212,1,-1.0
2,15:06:04.801619,15:06:17.704590,1,-1.0
2,15:06:04.801619,15:06:17.847768,1,-1.0
2,15:06:04.801619,15:06:17.977818,1,-1.0
2,15:06:04.801619,15:06:18.182318,1,-1.0
2,15:06:04.801619,15:06:18.318692,1,-1.0
