Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:22:45.693672,17:22:47.328974,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:48.415469,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:49.042517,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:49.611763,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:50.207012,1.0,-1.0,1.0
1,17:22:45.693672,17:22:50.772912,1.0,-1.0,1.0
1,17:22:45.693672,17:22:51.425103,1.0,-1.0,1.0
1,17:22:45.693672,17:22:51.895235,1.0,-1.0,1.0
1,17:22:45.693672,17:22:52.185104,1.0,-1.0,1.0
1,17:22:45.693672,17:22:52.374284,1.0,-1.0,1.0
1,17:22:45.693672,17:22:52.605785,1.0,-1.0,1.0
1,17:22:45.693672,17:22:52.829320,1.0,-1.0,1.0
1,17:22:45.693672,17:22:53.060752,1.0,-1.0,1.0
1,17:22:45.693672,17:22:53.355488,1.0,-1.0,1.0
1,17:22:45.693672,17:22:53.555029,1.0,-1.0,1.0
1,17:22:45.693672,17:22:53.785096,1.0,-1.0,1.0
1,17:22:45.693672,17:22:54.009867,1.0,-1.0,1.0
1,17:22:45.693672,17:22:54.296759,1.0,-1.0,1.0
1,17:22:45.693672,17:22:54.503310,1.0,-1.0,1.0
1,17:22:45.693672,17:22:54.683401,1.0,-1.0,1.0
1,17:22:45.693672,17:22:54.907258,1.0,-1.0,1.0
1,17:22:45.693672,17:22:55.114705,1.0,-1.0,1.0
1,17:22:45.693672,17:22:55.523833,1.0,-1.0,1.0
1,17:22:45.693672,17:22:55.758699,1.0,-1.0,1.0
1,17:22:45.693672,17:22:55.999067,1.0,-1.0,1.0
1,17:22:45.693672,17:22:56.234321,1.0,-1.0,1.0
1,17:22:45.693672,17:22:56.473620,1.0,-1.0,1.0
1,17:22:45.693672,17:22:56.714889,1.0,-1.0,1.0
1,17:22:45.693672,17:22:56.955656,1.0,-1.0,1.0
1,17:22:45.693672,17:22:57.248154,1.0,-1.0,1.0
1,17:22:45.693672,17:22:57.696486,1.0,-1.0,1.0
1,17:22:45.693672,17:22:57.988557,1.0,-1.0,1.0
1,17:22:45.693672,17:22:58.276522,1.0,-1.0,1.0
1,17:22:45.693672,17:22:58.564706,1.0,-1.0,1.0
1,17:22:45.693672,17:22:58.990354,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:59.215292,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:59.425452,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:59.713079,-1.0,-1.0,-1.0
1,17:22:45.693672,17:22:59.890920,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:00.182642,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:00.342485,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:00.575759,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:00.815425,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:01.051923,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:01.281900,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:01.665369,1.0,-1.0,1.0
1,17:22:45.693672,17:23:01.886874,1.0,-1.0,1.0
1,17:22:45.693672,17:23:02.097234,1.0,-1.0,1.0
1,17:22:45.693672,17:23:02.305204,1.0,-1.0,1.0
1,17:22:45.693672,17:23:02.485978,1.0,-1.0,1.0
1,17:22:45.693672,17:23:02.682010,1.0,-1.0,1.0
1,17:22:45.693672,17:23:02.891905,1.0,-1.0,1.0
1,17:22:45.693672,17:23:03.092307,1.0,-1.0,1.0
1,17:22:45.693672,17:23:03.281054,1.0,-1.0,1.0
1,17:22:45.693672,17:23:03.492806,1.0,-1.0,1.0
1,17:22:45.693672,17:23:03.688168,1.0,-1.0,1.0
1,17:22:45.693672,17:23:03.865209,1.0,-1.0,1.0
1,17:22:45.693672,17:23:04.158681,1.0,-1.0,1.0
1,17:22:45.693672,17:23:04.329657,1.0,-1.0,1.0
1,17:22:45.693672,17:23:04.533508,1.0,-1.0,1.0
1,17:22:45.693672,17:23:04.691942,1.0,-1.0,1.0
1,17:22:45.693672,17:23:04.828239,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.007011,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.154176,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.302882,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.460680,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.704426,1.0,-1.0,1.0
1,17:22:45.693672,17:23:05.903945,1.0,-1.0,1.0
1,17:22:45.693672,17:23:06.063471,1.0,-1.0,1.0
1,17:22:45.693672,17:23:06.219238,1.0,-1.0,1.0
1,17:22:45.693672,17:23:06.410388,1.0,-1.0,1.0
1,17:22:45.693672,17:23:06.612446,1.0,-1.0,1.0
1,17:22:45.693672,17:23:06.808950,1.0,-1.0,1.0
1,17:22:45.693672,17:23:07.036247,1.0,-1.0,1.0
1,17:22:45.693672,17:23:07.248838,1.0,-1.0,1.0
1,17:22:45.693672,17:23:07.489752,1.0,-1.0,1.0
1,17:22:45.693672,17:23:07.711614,1.0,-1.0,1.0
1,17:22:45.693672,17:23:07.997601,1.0,-1.0,1.0
1,17:22:45.693672,17:23:08.165336,1.0,-1.0,1.0
1,17:22:45.693672,17:23:08.455170,1.0,-1.0,1.0
1,17:22:45.693672,17:23:08.700607,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:08.912672,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:09.118639,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:09.330625,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:09.532848,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:09.900767,-1.0,-1.0,-1.0
1,17:22:45.693672,17:23:10.239486,1.0,-1.0,1.0
1,17:22:45.693672,17:23:10.455708,1.0,-1.0,1.0
1,17:22:45.693672,17:23:10.663836,1.0,-1.0,1.0
1,17:22:45.693672,17:23:10.850882,1.0,-1.0,1.0
1,17:22:45.693672,17:23:11.049596,1.0,-1.0,1.0
1,17:22:45.693672,17:23:11.231364,1.0,-1.0,1.0
1,17:22:45.693672,17:23:11.440794,1.0,-1.0,1.0
1,17:22:45.693672,17:23:11.654798,1.0,-1.0,1.0
1,17:22:45.693672,17:23:11.875124,1.0,-1.0,1.0
1,17:22:45.693672,17:23:12.078326,1.0,-1.0,1.0
1,17:22:45.693672,17:23:12.302344,1.0,-1.0,1.0
1,17:22:45.693672,17:23:12.592671,1.0,-1.0,1.0
1,17:22:45.693672,17:23:12.804546,1.0,-1.0,1.0
1,17:22:45.693672,17:23:13.015017,1.0,-1.0,1.0
1,17:22:45.693672,17:23:13.217214,1.0,-1.0,1.0
1,17:22:45.693672,17:23:13.427286,1.0,-1.0,1.0
1,17:22:45.693672,17:23:13.641112,1.0,-1.0,1.0
1,17:22:45.693672,17:23:13.863013,1.0,-1.0,1.0
1,17:22:45.693672,17:23:14.072871,1.0,-1.0,1.0
1,17:22:45.693672,17:23:14.310278,1.0,-1.0,1.0
1,17:22:45.693672,17:23:14.554312,1.0,-1.0,1.0
1,17:22:45.693672,17:23:14.731368,1.0,-1.0,1.0
1,17:22:45.693672,17:23:14.936986,1.0,-1.0,1.0
1,17:22:45.693672,17:23:15.111199,1.0,-1.0,1.0
1,17:22:45.693672,17:23:15.342109,1.0,-1.0,1.0
1,17:22:45.693672,17:23:15.566090,1.0,-1.0,1.0
1,17:22:45.693672,17:23:15.797148,1.0,-1.0,1.0
1,17:22:45.693672,17:23:16.023148,1.0,-1.0,1.0
1,17:22:45.693672,17:23:16.255006,1.0,-1.0,1.0
1,17:22:45.693672,17:23:16.458511,1.0,-1.0,1.0
1,17:22:45.693672,17:23:16.656994,1.0,-1.0,1.0
1,17:22:45.693672,17:23:16.863786,1.0,-1.0,1.0
1,17:22:45.693672,17:23:17.098787,1.0,-1.0,1.0
1,17:22:45.693672,17:23:17.327036,1.0,-1.0,1.0
1,17:22:45.693672,17:23:17.551103,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:23:17.568272,17:23:19.026626,-1.0,-1.0,-1.0
2,17:23:17.568272,17:23:19.461928,-1.0,-1.0,-1.0
2,17:23:17.568272,17:23:20.067099,1.0,-1.0,1.0
2,17:23:17.568272,17:23:20.290723,1.0,-1.0,1.0
2,17:23:17.568272,17:23:20.524100,1.0,-1.0,1.0
2,17:23:17.568272,17:23:20.727380,1.0,-1.0,1.0
2,17:23:17.568272,17:23:21.017380,1.0,-1.0,1.0
2,17:23:17.568272,17:23:21.239736,1.0,-1.0,1.0
2,17:23:17.568272,17:23:21.485632,1.0,-1.0,1.0
2,17:23:17.568272,17:23:21.779700,1.0,-1.0,1.0
2,17:23:17.568272,17:23:21.996926,1.0,-1.0,1.0
2,17:23:17.568272,17:23:22.280359,1.0,-1.0,1.0
2,17:23:17.568272,17:23:22.487175,1.0,-1.0,1.0
2,17:23:17.568272,17:23:22.705922,1.0,-1.0,1.0
2,17:23:17.568272,17:23:22.998670,1.0,-1.0,1.0
2,17:23:17.568272,17:23:23.212009,1.0,-1.0,1.0
2,17:23:17.568272,17:23:23.435811,1.0,-1.0,1.0
