Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:25:03.033267,17:25:03.905989,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:04.435744,1.0,-1.0,1.0
1,17:25:03.033267,17:25:05.575772,1.0,-1.0,1.0
1,17:25:03.033267,17:25:05.787112,1.0,-1.0,1.0
1,17:25:03.033267,17:25:05.968429,1.0,-1.0,1.0
1,17:25:03.033267,17:25:06.126920,1.0,-1.0,1.0
1,17:25:03.033267,17:25:06.263575,1.0,-1.0,1.0
1,17:25:03.033267,17:25:06.433241,1.0,-1.0,1.0
1,17:25:03.033267,17:25:06.726655,1.0,-1.0,1.0
1,17:25:03.033267,17:25:06.904862,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.054791,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.235408,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.464568,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.615013,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.775404,1.0,-1.0,1.0
1,17:25:03.033267,17:25:07.931643,1.0,-1.0,1.0
1,17:25:03.033267,17:25:08.071605,1.0,-1.0,1.0
1,17:25:03.033267,17:25:08.241324,1.0,-1.0,1.0
1,17:25:03.033267,17:25:08.440486,1.0,-1.0,1.0
1,17:25:03.033267,17:25:08.633008,1.0,-1.0,1.0
1,17:25:03.033267,17:25:08.820713,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.002791,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.206051,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.383128,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.555822,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.748858,1.0,-1.0,1.0
1,17:25:03.033267,17:25:09.970317,1.0,-1.0,1.0
1,17:25:03.033267,17:25:10.367958,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:10.588880,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:10.768854,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:10.970509,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:11.165429,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:11.364506,-1.0,-1.0,-1.0
1,17:25:03.033267,17:25:11.744425,1.0,-1.0,1.0
1,17:25:03.033267,17:25:11.955412,1.0,-1.0,1.0
1,17:25:03.033267,17:25:12.134843,1.0,-1.0,1.0
1,17:25:03.033267,17:25:12.311834,1.0,-1.0,1.0
1,17:25:03.033267,17:25:12.509474,1.0,-1.0,1.0
1,17:25:03.033267,17:25:12.691264,1.0,-1.0,1.0
1,17:25:03.033267,17:25:12.893647,1.0,-1.0,1.0
1,17:25:03.033267,17:25:13.118695,1.0,-1.0,1.0
1,17:25:03.033267,17:25:13.316363,1.0,-1.0,1.0
1,17:25:03.033267,17:25:13.520527,1.0,-1.0,1.0
1,17:25:03.033267,17:25:13.731489,1.0,-1.0,1.0
1,17:25:03.033267,17:25:13.932367,1.0,-1.0,1.0
1,17:25:03.033267,17:25:14.134919,1.0,-1.0,1.0
1,17:25:03.033267,17:25:14.333531,1.0,-1.0,1.0
1,17:25:03.033267,17:25:14.504847,1.0,-1.0,1.0
1,17:25:03.033267,17:25:14.687671,1.0,-1.0,1.0
1,17:25:03.033267,17:25:14.849494,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.006544,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.198474,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.369720,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.572614,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.770067,1.0,-1.0,1.0
1,17:25:03.033267,17:25:15.997046,1.0,-1.0,1.0
1,17:25:03.033267,17:25:16.216713,1.0,-1.0,1.0
1,17:25:03.033267,17:25:16.440071,1.0,-1.0,1.0
1,17:25:03.033267,17:25:16.662675,1.0,-1.0,1.0
1,17:25:03.033267,17:25:16.888927,1.0,-1.0,1.0
1,17:25:03.033267,17:25:17.099116,1.0,-1.0,1.0
1,17:25:03.033267,17:25:17.332305,1.0,-1.0,1.0
1,17:25:03.033267,17:25:17.625635,1.0,-1.0,1.0
1,17:25:03.033267,17:25:17.847712,1.0,-1.0,1.0
1,17:25:03.033267,17:25:18.139251,1.0,-1.0,1.0
