Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:53:02.958490,14:53:08.928622,-1,-0.3858240649689719
1,14:53:02.958490,14:53:09.219474,-1,0.39142879826602095
1,14:53:02.958490,14:53:09.454223,-1,6.506061170244618
1,14:53:02.958490,14:53:09.988854,-1,-0.5989650983065065
1,14:53:02.958490,14:53:10.377931,-1,-0.22410566487195638
1,14:53:02.958490,14:53:10.674747,-1,0.5637396565454946
1,14:53:02.958490,14:53:10.969196,-1,5.964607344168468
1,14:53:02.958490,14:53:11.507313,1,-0.7209492112957594
1,14:53:02.958490,14:53:11.728215,1,-0.9569692874546252
1,14:53:02.958490,14:53:11.942152,1,-1.0309652487928804
1,14:53:02.958490,14:53:12.246017,1,-1.4402436907576817
1,14:53:02.958490,14:53:12.535228,1,-1.9502438400187987
1,14:53:02.958490,14:53:12.704484,1,-2.3391692197066605
1,14:53:02.958490,14:53:12.998512,1,-3.2417195612941883
1,14:53:02.958490,14:53:13.225920,1,-3.6315212261042675
1,14:53:02.958490,14:53:13.455827,1,-4.467904831626412
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
