Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:14:30.384637,15:14:40.105601,1,-1.0
1,15:14:30.384637,15:14:40.427337,1,-1.0
1,15:14:30.384637,15:14:40.721422,1,-1.0
1,15:14:30.384637,15:14:40.954579,1,-1.0
1,15:14:30.384637,15:14:41.170210,-1,-1.0
1,15:14:30.384637,15:14:41.482191,-1,-1.0
1,15:14:30.384637,15:14:41.774930,1,-1.0
1,15:14:30.384637,15:14:42.068850,1,-1.0
1,15:14:30.384637,15:14:42.361095,1,-1.0
1,15:14:30.384637,15:14:42.577315,1,-1.0
1,15:14:30.384637,15:14:42.874072,1,-1.0
1,15:14:30.384637,15:14:43.030656,-1,-1.0
1,15:14:30.384637,15:14:43.325670,-1,-1.0
1,15:14:30.384637,15:14:43.547581,-1,-1.0
1,15:14:30.384637,15:14:43.786554,-1,-1.0
1,15:14:30.384637,15:14:44.014163,-1,-1.0
1,15:14:30.384637,15:14:44.247453,1,-1.0
1,15:14:30.384637,15:14:44.546307,1,-1.0
1,15:14:30.384637,15:14:44.785947,1,-1.0
1,15:14:30.384637,15:14:44.992653,1,-1.0
1,15:14:30.384637,15:14:45.287899,1,-1.0
1,15:14:30.384637,15:14:45.508801,1,-1.0
1,15:14:30.384637,15:14:45.754340,1,-1.0
1,15:14:30.384637,15:14:46.000214,1,-1.0
1,15:14:30.384637,15:14:46.245673,-1,-1.0
1,15:14:30.384637,15:14:46.551328,-1,-1.0
1,15:14:30.384637,15:14:46.850771,-1,-1.0
1,15:14:30.384637,15:14:47.085385,-1,-1.0
1,15:14:30.384637,15:14:47.329584,-1,-1.0
1,15:14:30.384637,15:14:47.614255,-1,-1.0
1,15:14:30.384637,15:14:47.846275,-1,-1.0
1,15:14:30.384637,15:14:48.151494,1,-1.0
1,15:14:30.384637,15:14:48.447096,1,-1.0
1,15:14:30.384637,15:14:48.694663,1,-1.0
1,15:14:30.384637,15:14:48.943151,1,-1.0
1,15:14:30.384637,15:14:49.239415,1,-1.0
1,15:14:30.384637,15:14:49.483678,1,-1.0
1,15:14:30.384637,15:14:49.784652,1,-1.0
1,15:14:30.384637,15:14:49.977393,-1,-1.0
1,15:14:30.384637,15:14:50.275778,-1,-1.0
1,15:14:30.384637,15:14:50.464295,-1,-1.0
1,15:14:30.384637,15:14:50.702410,-1,-1.0
1,15:14:30.384637,15:14:50.905413,1,-1.0
1,15:14:30.384637,15:14:51.201833,1,-1.0
1,15:14:30.384637,15:14:51.496634,1,-1.0
1,15:14:30.384637,15:14:51.671476,1,-1.0
1,15:14:30.384637,15:14:51.965528,1,-1.0
1,15:14:30.384637,15:14:52.177377,1,-1.0
1,15:14:30.384637,15:14:52.391539,-1,-1.0
1,15:14:30.384637,15:14:52.695562,-1,-1.0
1,15:14:30.384637,15:14:52.913644,-1,-1.0
1,15:14:30.384637,15:14:53.162722,-1,-1.0
1,15:14:30.384637,15:14:53.386522,-1,-1.0
1,15:14:30.384637,15:14:53.625232,-1,-1.0
1,15:14:30.384637,15:14:53.824791,-1,-1.0
1,15:14:30.384637,15:14:54.005639,1,-1.0
1,15:14:30.384637,15:14:54.302981,1,-1.0
1,15:14:30.384637,15:14:54.482791,1,-1.0
1,15:14:30.384637,15:14:54.779137,1,-1.0
1,15:14:30.384637,15:14:54.992144,1,-1.0
1,15:14:30.384637,15:14:55.206355,1,-1.0
1,15:14:30.384637,15:14:55.441188,1,-1.0
1,15:14:30.384637,15:14:55.685865,-1,-1.0
1,15:14:30.384637,15:14:55.987264,-1,-1.0
1,15:14:30.384637,15:14:56.211097,-1,-1.0
1,15:14:30.384637,15:14:56.437266,-1,-1.0
1,15:14:30.384637,15:14:56.658345,-1,-1.0
1,15:14:30.384637,15:14:56.952862,1,-1.0
1,15:14:30.384637,15:14:57.176010,1,-1.0
1,15:14:30.384637,15:14:57.381844,1,-1.0
1,15:14:30.384637,15:14:57.622804,1,-1.0
1,15:14:30.384637,15:14:57.918953,1,-1.0
1,15:14:30.384637,15:14:58.142059,1,-1.0
1,15:14:30.384637,15:14:58.431404,1,-1.0
1,15:14:30.384637,15:14:58.737390,1,-1.0
1,15:14:30.384637,15:14:59.032639,1,-1.0
1,15:14:30.384637,15:14:59.155658,-1,-1.0
1,15:14:30.384637,15:14:59.446330,-1,-1.0
1,15:14:30.384637,15:14:59.739372,-1,-1.0
1,15:14:30.384637,15:14:59.910399,-1,-1.0
1,15:14:30.384637,15:15:00.123048,-1,-1.0
1,15:14:30.384637,15:15:00.413510,1,-1.0
1,15:14:30.384637,15:15:00.611211,1,-1.0
1,15:14:30.384637,15:15:00.855737,1,-1.0
1,15:14:30.384637,15:15:01.058965,1,-1.0
1,15:14:30.384637,15:15:01.284697,1,-1.0
1,15:14:30.384637,15:15:01.514292,-1,-1.0
1,15:14:30.384637,15:15:01.809075,-1,-1.0
1,15:14:30.384637,15:15:02.039154,-1,-1.0
1,15:14:30.384637,15:15:02.264404,-1,-1.0
1,15:14:30.384637,15:15:02.668637,1,-1.0
1,15:14:30.384637,15:15:02.913609,1,-1.0
1,15:14:30.384637,15:15:03.206430,1,-1.0
1,15:14:30.384637,15:15:03.490606,-1,-1.0
1,15:14:30.384637,15:15:03.786428,-1,-1.0
1,15:14:30.384637,15:15:03.878909,1,-1.0
1,15:14:30.384637,15:15:04.175817,1,-1.0
1,15:14:30.384637,15:15:04.319585,1,-1.0
1,15:14:30.384637,15:15:04.767324,-1,-1.0
1,15:14:30.384637,15:15:05.010125,-1,-1.0
1,15:14:30.384637,15:15:05.224504,-1,-1.0
1,15:14:30.384637,15:15:05.449160,-1,-1.0
1,15:14:30.384637,15:15:05.693233,1,-1.0
1,15:14:30.384637,15:15:05.986262,1,-1.0
1,15:14:30.384637,15:15:06.199909,1,-1.0
1,15:14:30.384637,15:15:06.579931,1,-1.0
1,15:14:30.384637,15:15:06.878583,1,-1.0
1,15:14:30.384637,15:15:07.168795,-1,-1.0
1,15:14:30.384637,15:15:07.401392,-1,-1.0
1,15:14:30.384637,15:15:07.627065,-1,-1.0
1,15:14:30.384637,15:15:08.167363,1,-1.0
1,15:14:30.384637,15:15:08.801658,1,-1.0
1,15:14:30.384637,15:15:09.213442,-1,-1.0
1,15:14:30.384637,15:15:09.460974,-1,-1.0
1,15:14:30.384637,15:15:09.697244,-1,-1.0
1,15:14:30.384637,15:15:09.888958,1,-1.0
1,15:14:30.384637,15:15:10.221892,-1,-1.0
1,15:14:30.384637,15:15:10.630405,1,-1.0
1,15:14:30.384637,15:15:10.876203,1,-1.0
1,15:14:30.384637,15:15:11.058261,1,-1.0
1,15:14:30.384637,15:15:11.355266,1,-1.0
1,15:14:30.384637,15:15:11.577913,-1,-1.0
1,15:14:30.384637,15:15:11.875640,-1,-1.0
1,15:14:30.384637,15:15:12.345345,1,-1.0
1,15:14:30.384637,15:15:12.637310,1,-1.0
1,15:14:30.384637,15:15:12.931056,1,-1.0
1,15:14:30.384637,15:15:13.128924,1,-1.0
1,15:14:30.384637,15:15:13.373401,1,-1.0
1,15:14:30.384637,15:15:14.027098,-1,-1.0
1,15:14:30.384637,15:15:14.552353,1,-1.0
1,15:14:30.384637,15:15:14.796015,1,-1.0
1,15:14:30.384637,15:15:15.094603,1,-1.0
1,15:14:30.384637,15:15:15.313444,-1,-1.0
1,15:14:30.384637,15:15:15.548813,-1,-1.0
1,15:14:30.384637,15:15:15.762569,-1,-1.0
1,15:14:30.384637,15:15:16.070471,-1,-1.0
1,15:14:30.384637,15:15:16.366662,1,-1.0
1,15:14:30.384637,15:15:16.659786,1,-1.0
1,15:14:30.384637,15:15:16.871570,1,-1.0
1,15:14:30.384637,15:15:17.095075,1,-1.0
1,15:14:30.384637,15:15:17.308202,1,-1.0
1,15:14:30.384637,15:15:17.549780,-1,-1.0
1,15:14:30.384637,15:15:17.839320,-1,-1.0
1,15:14:30.384637,15:15:18.062647,-1,-1.0
1,15:14:30.384637,15:15:18.267275,-1,-1.0
1,15:14:30.384637,15:15:18.503325,1,-1.0
1,15:14:30.384637,15:15:18.795366,1,-1.0
1,15:14:30.384637,15:15:19.004750,1,-1.0
1,15:14:30.384637,15:15:19.297212,1,-1.0
1,15:14:30.384637,15:15:19.473472,1,-1.0
1,15:14:30.384637,15:15:19.678524,-1,-1.0
1,15:14:30.384637,15:15:19.974077,-1,-1.0
1,15:14:30.384637,15:15:20.350966,1,-1.0
1,15:14:30.384637,15:15:20.677645,1,-1.0
1,15:14:30.384637,15:15:20.972914,1,-1.0
1,15:14:30.384637,15:15:21.180750,1,-1.0
1,15:14:30.384637,15:15:21.415065,1,-1.0
1,15:14:30.384637,15:15:21.634866,1,-1.0
1,15:14:30.384637,15:15:21.870634,1,-1.0
1,15:14:30.384637,15:15:22.114587,1,-1.0
1,15:14:30.384637,15:15:22.340039,1,-1.0
1,15:14:30.384637,15:15:22.574797,1,-1.0
1,15:14:30.384637,15:15:22.813902,1,-1.0
1,15:14:30.384637,15:15:23.108215,1,-1.0
1,15:14:30.384637,15:15:23.291138,1,-1.0
1,15:14:30.384637,15:15:23.515635,-1,-1.0
1,15:14:30.384637,15:15:24.052344,-1,-1.0
1,15:14:30.384637,15:15:24.262089,-1,-1.0
1,15:14:30.384637,15:15:24.467580,1,-1.0
1,15:14:30.384637,15:15:24.765563,1,-1.0
1,15:14:30.384637,15:15:24.978767,1,-1.0
1,15:14:30.384637,15:15:25.277057,1,-1.0
1,15:14:30.384637,15:15:25.446098,1,-1.0
1,15:14:30.384637,15:15:25.671171,-1,-1.0
1,15:14:30.384637,15:15:25.962312,-1,-1.0
1,15:14:30.384637,15:15:26.175650,-1,-1.0
1,15:14:30.384637,15:15:26.398872,1,-1.0
1,15:14:30.384637,15:15:26.692905,1,-1.0
1,15:14:30.384637,15:15:26.893235,1,-1.0
1,15:14:30.384637,15:15:27.116344,1,-1.0
1,15:14:30.384637,15:15:27.348611,1,-1.0
1,15:14:30.384637,15:15:27.690856,-1,-1.0
1,15:14:30.384637,15:15:27.983346,-1,-1.0
1,15:14:30.384637,15:15:28.198114,-1,-1.0
1,15:14:30.384637,15:15:28.433530,-1,-1.0
1,15:14:30.384637,15:15:28.658307,-1,-1.0
1,15:14:30.384637,15:15:28.874921,1,-1.0
1,15:14:30.384637,15:15:29.170309,1,-1.0
1,15:14:30.384637,15:15:29.379898,1,-1.0
1,15:14:30.384637,15:15:29.665575,1,-1.0
1,15:14:30.384637,15:15:29.855119,1,-1.0
1,15:14:30.384637,15:15:30.159276,-1,-1.0
