Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,14:00:27.591641,14:00:36.596356,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:37.756850,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:38.378594,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:38.908380,1.0,-1.0,1.0
1,14:00:27.591641,14:00:42.116591,1.0,-1.0,1.0
1,14:00:27.591641,14:00:45.033277,1.0,-1.0,1.0
1,14:00:27.591641,14:00:47.596683,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:49.320292,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:50.804285,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:51.815461,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:52.700400,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:53.554392,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:54.634087,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:55.700239,-1.0,-1.0,-1.0
1,14:00:27.591641,14:00:57.127020,1.0,-1.0,1.0
1,14:00:27.591641,14:01:01.232672,1.0,-1.0,1.0
1,14:00:27.591641,14:01:02.750110,1.0,-1.0,1.0
1,14:00:27.591641,14:01:05.223258,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:06.283103,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:07.245888,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:08.049472,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:08.717326,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:09.328812,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:09.880953,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:10.413920,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:10.754569,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:10.980659,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:11.175241,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:11.389804,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:11.604304,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:11.819578,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:12.509831,1.0,-1.0,1.0
1,14:00:27.591641,14:01:12.913816,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:13.190586,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:13.357167,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:13.581775,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:13.795353,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:14.019940,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:14.308472,1.0,-1.0,1.0
1,14:00:27.591641,14:01:14.858202,1.0,-1.0,1.0
1,14:00:27.591641,14:01:15.085122,1.0,-1.0,1.0
1,14:00:27.591641,14:01:15.319396,1.0,-1.0,1.0
1,14:00:27.591641,14:01:15.754343,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:15.990095,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:16.215277,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:16.439876,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:16.653888,-1.0,-1.0,-1.0
1,14:00:27.591641,14:01:16.866476,-1.0,-1.0,-1.0
