Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:10:20.423873,17:10:22.736015,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:23.251419,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:23.538062,1.0,-1.0,1.0
1,17:10:20.423873,17:10:33.777499,1.0,-1.0,1.0
1,17:10:20.423873,17:10:34.717465,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:35.248032,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:35.785361,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:36.255576,1.0,-1.0,1.0
1,17:10:20.423873,17:10:36.670080,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:37.073886,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:37.528336,1.0,-1.0,1.0
1,17:10:20.423873,17:10:37.939703,1.0,-1.0,1.0
1,17:10:20.423873,17:10:39.262898,1.0,-1.0,1.0
1,17:10:20.423873,17:10:42.482509,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:43.091203,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:43.576911,1.0,-1.0,1.0
1,17:10:20.423873,17:10:43.978211,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:44.225301,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:44.767412,-1.0,-1.0,-1.0
1,17:10:20.423873,17:10:45.297889,1.0,-1.0,1.0
1,17:10:20.423873,17:10:45.506843,1.0,-1.0,1.0
1,17:10:20.423873,17:10:45.690147,1.0,-1.0,1.0
1,17:10:20.423873,17:10:45.895768,1.0,-1.0,1.0
1,17:10:20.423873,17:10:46.108027,1.0,-1.0,1.0
1,17:10:20.423873,17:10:46.313377,1.0,-1.0,1.0
1,17:10:20.423873,17:10:46.523005,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,17:10:53.574822,17:10:55.327431,1.0,-1.0,1.0
2,17:10:53.574822,17:11:03.583710,-1.0,-1.0,-1.0
2,17:10:53.574822,17:11:04.198821,1.0,-1.0,1.0
2,17:10:53.574822,17:11:09.133964,1.0,-1.0,1.0
2,17:10:53.574822,17:11:10.732025,1.0,-1.0,1.0
