Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,15:47:29.813909,15:47:33.507725,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:34.765820,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:35.293056,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:35.838674,1.0,-1.0,1.0
1,15:47:29.813909,15:47:36.073639,1.0,-1.0,1.0
1,15:47:29.813909,15:47:36.307265,1.0,-1.0,1.0
1,15:47:29.813909,15:47:36.507969,1.0,-1.0,1.0
1,15:47:29.813909,15:47:36.794650,1.0,-1.0,1.0
1,15:47:29.813909,15:47:36.995311,1.0,-1.0,1.0
1,15:47:29.813909,15:47:37.206999,1.0,-1.0,1.0
1,15:47:29.813909,15:47:37.408999,1.0,-1.0,1.0
1,15:47:29.813909,15:47:37.636542,1.0,-1.0,1.0
1,15:47:29.813909,15:47:38.565192,1.0,-1.0,1.0
1,15:47:29.813909,15:47:38.965535,1.0,-1.0,1.0
1,15:47:29.813909,15:47:39.177091,1.0,-1.0,1.0
1,15:47:29.813909,15:47:39.356688,1.0,-1.0,1.0
1,15:47:29.813909,15:47:39.882492,1.0,-1.0,1.0
1,15:47:29.813909,15:47:40.079262,1.0,-1.0,1.0
1,15:47:29.813909,15:47:40.884635,1.0,-1.0,1.0
1,15:47:29.813909,15:47:42.913485,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:45.963920,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:46.497006,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:46.861080,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:47.213373,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:47.501433,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:47.743596,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:47.977939,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:48.320617,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:48.516394,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:48.696388,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:48.846058,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:49.024178,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:49.405435,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:49.595327,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:49.777869,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:50.105286,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:50.309322,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:50.602556,1.0,-1.0,1.0
1,15:47:29.813909,15:47:50.766028,1.0,-1.0,1.0
1,15:47:29.813909,15:47:50.913369,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.071627,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.241665,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.423578,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.583616,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.775288,1.0,-1.0,1.0
1,15:47:29.813909,15:47:51.956205,1.0,-1.0,1.0
1,15:47:29.813909,15:47:52.147210,1.0,-1.0,1.0
1,15:47:29.813909,15:47:52.546594,1.0,-1.0,1.0
1,15:47:29.813909,15:47:52.759477,1.0,-1.0,1.0
1,15:47:29.813909,15:47:52.928989,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.119582,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.286906,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.458713,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.639198,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.812031,1.0,-1.0,1.0
1,15:47:29.813909,15:47:53.971192,1.0,-1.0,1.0
1,15:47:29.813909,15:47:54.129385,1.0,-1.0,1.0
1,15:47:29.813909,15:47:54.288370,1.0,-1.0,1.0
1,15:47:29.813909,15:47:54.580699,1.0,-1.0,1.0
1,15:47:29.813909,15:47:55.351866,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:55.969044,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:56.156753,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:56.332997,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:56.520098,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:56.713771,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:56.896502,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.076299,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.247391,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.426734,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.583185,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.752245,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:57.920959,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:58.082514,-1.0,-1.0,-1.0
1,15:47:29.813909,15:47:58.395677,1.0,-1.0,1.0
1,15:47:29.813909,15:47:58.572741,1.0,-1.0,1.0
1,15:47:29.813909,15:47:58.727916,1.0,-1.0,1.0
1,15:47:29.813909,15:47:58.887661,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.058119,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.238005,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.408019,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.578266,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.762178,1.0,-1.0,1.0
1,15:47:29.813909,15:47:59.945145,1.0,-1.0,1.0
1,15:47:29.813909,15:48:00.136152,1.0,-1.0,1.0
1,15:47:29.813909,15:48:00.325102,1.0,-1.0,1.0
1,15:47:29.813909,15:48:00.516892,1.0,-1.0,1.0
1,15:47:29.813909,15:48:00.705707,1.0,-1.0,1.0
1,15:47:29.813909,15:48:00.883664,1.0,-1.0,1.0
1,15:47:29.813909,15:48:01.085362,1.0,-1.0,1.0
1,15:47:29.813909,15:48:01.289493,1.0,-1.0,1.0
1,15:47:29.813909,15:48:01.481684,1.0,-1.0,1.0
1,15:47:29.813909,15:48:01.695176,1.0,-1.0,1.0
1,15:47:29.813909,15:48:01.886237,1.0,-1.0,1.0
1,15:47:29.813909,15:48:02.098513,1.0,-1.0,1.0
1,15:47:29.813909,15:48:02.301357,1.0,-1.0,1.0
1,15:47:29.813909,15:48:02.502313,1.0,-1.0,1.0
1,15:47:29.813909,15:48:02.712466,1.0,-1.0,1.0
1,15:47:29.813909,15:48:02.902208,1.0,-1.0,1.0
1,15:47:29.813909,15:48:03.104245,1.0,-1.0,1.0
1,15:47:29.813909,15:48:03.316208,1.0,-1.0,1.0
1,15:47:29.813909,15:48:03.517858,1.0,-1.0,1.0
1,15:47:29.813909,15:48:03.730440,1.0,-1.0,1.0
1,15:47:29.813909,15:48:03.919266,1.0,-1.0,1.0
1,15:47:29.813909,15:48:04.121081,1.0,-1.0,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
2,15:48:04.623990,15:48:07.243709,1.0,-1.0,1.0
2,15:48:04.623990,15:48:07.628014,1.0,-1.0,1.0
2,15:48:04.623990,15:48:07.781912,1.0,-1.0,1.0
2,15:48:04.623990,15:48:08.003448,1.0,-1.0,1.0
2,15:48:04.623990,15:48:08.245589,1.0,-1.0,1.0
2,15:48:04.623990,15:48:08.547372,1.0,-1.0,1.0
2,15:48:04.623990,15:48:08.810218,1.0,-1.0,1.0
2,15:48:04.623990,15:48:09.108385,1.0,-1.0,1.0
2,15:48:04.623990,15:48:09.418502,1.0,-1.0,1.0
2,15:48:04.623990,15:48:09.625849,1.0,-1.0,1.0
2,15:48:04.623990,15:48:09.746788,1.0,-1.0,1.0
2,15:48:04.623990,15:48:09.986937,1.0,-1.0,1.0
2,15:48:04.623990,15:48:10.136030,1.0,-1.0,1.0
2,15:48:04.623990,15:48:10.315057,1.0,-1.0,1.0
2,15:48:04.623990,15:48:10.503829,1.0,-1.0,1.0
2,15:48:04.623990,15:48:10.686685,1.0,-1.0,1.0
2,15:48:04.623990,15:48:10.868336,1.0,-1.0,1.0
2,15:48:04.623990,15:48:11.052224,1.0,-1.0,1.0
2,15:48:04.623990,15:48:11.728984,1.0,-1.0,1.0
