Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,15:42:14.081867,15:42:18.256101,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:18.863179,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:19.438255,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:19.965220,1.0,-1.0,1.0
1,15:42:14.081867,15:42:20.290711,1.0,-1.0,1.0
1,15:42:14.081867,15:42:20.747557,1.0,-1.0,1.0
1,15:42:14.081867,15:42:21.355046,1.0,-1.0,1.0
1,15:42:14.081867,15:42:21.708119,1.0,-1.0,1.0
1,15:42:14.081867,15:42:22.620339,1.0,-1.0,1.0
1,15:42:14.081867,15:42:23.954579,1.0,-1.0,1.0
1,15:42:14.081867,15:42:24.978585,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:25.438908,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:25.668668,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:25.952155,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:26.180222,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:26.471815,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:26.682762,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:26.972919,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:27.184475,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:27.426242,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:27.660069,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:27.870000,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:28.095024,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:28.313637,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:28.527084,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:28.745491,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:28.943257,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:29.159521,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:29.350401,-1.0,-1.0,-1.0
1,15:42:14.081867,15:42:29.562029,1.0,-1.0,1.0
1,15:42:14.081867,15:42:29.751328,1.0,-1.0,1.0
1,15:42:14.081867,15:42:29.941368,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.108692,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.296642,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.435834,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.625587,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.797150,1.0,-1.0,1.0
1,15:42:14.081867,15:42:30.977350,1.0,-1.0,1.0
1,15:42:14.081867,15:42:31.155738,1.0,-1.0,1.0
1,15:42:14.081867,15:42:31.335251,1.0,-1.0,1.0
1,15:42:14.081867,15:42:31.537498,1.0,-1.0,1.0
1,15:42:14.081867,15:42:31.726418,1.0,-1.0,1.0
1,15:42:14.081867,15:42:31.928447,1.0,-1.0,1.0
1,15:42:14.081867,15:42:32.097392,1.0,-1.0,1.0
1,15:42:14.081867,15:42:32.308780,1.0,-1.0,1.0
1,15:42:14.081867,15:42:32.597702,1.0,-1.0,1.0
1,15:42:14.081867,15:42:32.824831,1.0,-1.0,1.0
1,15:42:14.081867,15:42:33.047606,1.0,-1.0,1.0
1,15:42:14.081867,15:42:33.280024,1.0,-1.0,1.0
1,15:42:14.081867,15:42:33.510961,1.0,-1.0,1.0
