Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,15:56:15.023419,15:56:20.191962,1.0,-1.0,1.0
1,15:56:15.023419,15:56:21.916271,1.0,-1.0,1.0
1,15:56:15.023419,15:56:25.450895,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:26.793922,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:27.934010,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:29.094615,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:30.193290,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:31.703282,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:32.954308,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:33.823198,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:34.491847,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:35.090616,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:35.729251,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:36.379108,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:36.994850,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:37.938248,1.0,-1.0,1.0
1,15:56:15.023419,15:56:39.430131,1.0,-1.0,1.0
1,15:56:15.023419,15:56:40.522561,1.0,-1.0,1.0
1,15:56:15.023419,15:56:41.401156,1.0,-1.0,1.0
1,15:56:15.023419,15:56:42.894768,1.0,-1.0,1.0
1,15:56:15.023419,15:56:46.171530,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:47.298126,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:48.336662,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:49.370771,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:50.206524,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:51.122874,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:52.291616,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:53.420162,-1.0,-1.0,-1.0
1,15:56:15.023419,15:56:54.546643,1.0,-1.0,1.0
1,15:56:15.023419,15:56:55.936979,1.0,-1.0,1.0
1,15:56:15.023419,15:56:57.180397,1.0,-1.0,1.0
1,15:56:15.023419,15:56:58.219610,1.0,-1.0,1.0
1,15:56:15.023419,15:56:59.158106,1.0,-1.0,1.0
1,15:56:15.023419,15:57:00.024789,1.0,-1.0,1.0
1,15:56:15.023419,15:57:03.469843,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:04.475955,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:05.435444,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:06.201464,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:06.968122,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:07.769900,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:08.545143,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:09.346768,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:10.135697,-1.0,-1.0,-1.0
1,15:56:15.023419,15:57:11.018132,1.0,-1.0,1.0
1,15:56:15.023419,15:57:11.804598,1.0,-1.0,1.0
