Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,16:34:44.334611,16:34:46.456939,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:47.082436,1.0,-1.0,1.0
1,16:34:44.334611,16:34:55.301558,1.0,-1.0,1.0
1,16:34:44.334611,16:34:57.074808,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:57.497882,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:57.791745,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:58.000616,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:58.346478,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:58.634643,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:58.925893,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:59.140172,-1.0,-1.0,-3.0
1,16:34:44.334611,16:34:59.275716,1.0,-1.0,1.0
1,16:34:44.334611,16:34:59.562881,1.0,-1.0,1.0
1,16:34:44.334611,16:34:59.759930,1.0,-1.0,1.0
1,16:34:44.334611,16:34:59.958242,1.0,-1.0,1.0
1,16:34:44.334611,16:35:00.159958,1.0,-1.0,1.0
1,16:34:44.334611,16:35:00.371129,1.0,-1.0,1.0
1,16:34:44.334611,16:35:00.568774,1.0,-1.0,1.0
1,16:34:44.334611,16:35:00.762561,1.0,-1.0,1.0
1,16:34:44.334611,16:35:00.971172,1.0,-1.0,1.0
1,16:34:44.334611,16:35:01.176777,1.0,-1.0,1.0
1,16:34:44.334611,16:35:01.397877,1.0,-1.0,1.0
1,16:34:44.334611,16:35:01.687486,1.0,-1.0,1.0
1,16:34:44.334611,16:35:01.873705,1.0,-1.0,1.0
1,16:34:44.334611,16:35:02.106472,1.0,-1.0,1.0
1,16:34:44.334611,16:35:02.335016,1.0,-1.0,1.0
1,16:34:44.334611,16:35:02.568782,1.0,-1.0,1.0
1,16:34:44.334611,16:35:02.768871,1.0,-1.0,1.0
1,16:34:44.334611,16:35:03.062276,1.0,-1.0,1.0
1,16:34:44.334611,16:35:07.241110,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:07.450765,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:07.664413,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:07.844191,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:08.049471,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:08.249608,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:08.429985,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:08.624083,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:08.826124,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:09.042338,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:09.251198,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:09.440482,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:09.650449,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:09.867101,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:10.075397,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:10.382907,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:10.673283,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:10.861038,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:11.082343,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:11.307083,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:11.528952,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:11.745824,1.0,-1.0,1.0
1,16:34:44.334611,16:35:12.070871,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:12.298789,-1.0,-1.0,-3.0
1,16:34:44.334611,16:35:12.410191,1.0,-1.0,1.0
1,16:34:44.334611,16:35:12.652019,1.0,-1.0,1.0
1,16:34:44.334611,16:35:12.852796,1.0,-1.0,1.0
1,16:34:44.334611,16:35:13.054715,1.0,-1.0,1.0
1,16:34:44.334611,16:35:13.245523,1.0,-1.0,1.0
1,16:34:44.334611,16:35:13.438678,1.0,-1.0,1.0
1,16:34:44.334611,16:35:13.660759,1.0,-1.0,1.0
1,16:34:44.334611,16:35:13.852981,1.0,-1.0,1.0
1,16:34:44.334611,16:35:14.086939,1.0,-1.0,1.0
1,16:34:44.334611,16:35:14.295602,1.0,-1.0,1.0
1,16:34:44.334611,16:35:14.530792,1.0,-1.0,1.0
1,16:34:44.334611,16:35:14.750682,1.0,-1.0,1.0
1,16:34:44.334611,16:35:14.982483,1.0,-1.0,1.0
1,16:34:44.334611,16:35:15.215256,1.0,-1.0,1.0
1,16:34:44.334611,16:35:15.458391,1.0,-1.0,1.0
1,16:34:44.334611,16:35:15.682396,1.0,-1.0,1.0
1,16:34:44.334611,16:35:15.975627,1.0,-1.0,1.0
1,16:34:44.334611,16:35:16.152970,1.0,-1.0,1.0
1,16:34:44.334611,16:35:16.445017,1.0,-1.0,1.0
1,16:34:44.334611,16:35:16.737572,1.0,-1.0,1.0
1,16:34:44.334611,16:35:17.028085,1.0,-1.0,1.0
1,16:34:44.334611,16:35:17.235388,1.0,-1.0,1.0
1,16:34:44.334611,16:35:17.529400,1.0,-1.0,1.0
