Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:39:43.118930,16:39:44.782684,-1.0,-1.0
1,16:39:43.118930,16:39:45.432945,-1.0,-1.0
1,16:39:43.118930,16:39:45.876826,1.0,-1.0
1,16:39:43.118930,16:39:51.997936,1.0,-1.0
1,16:39:43.118930,16:39:56.465275,-1.0,-1.0
1,16:39:43.118930,16:39:57.759488,-1.0,-1.0
1,16:39:43.118930,16:39:58.397946,-1.0,-1.0
1,16:39:43.118930,16:39:58.969512,-1.0,-1.0
1,16:39:43.118930,16:39:59.562869,1.0,-1.0
1,16:39:43.118930,16:40:05.678855,1.0,-1.0
1,16:39:43.118930,16:40:12.032002,-1.0,-1.0
1,16:39:43.118930,16:40:12.735439,1.0,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:40:16.881174,16:40:20.590497,1.0,-1.0
2,16:40:16.881174,16:40:27.344190,-1.0,-1.0
2,16:40:16.881174,16:40:27.881118,1.0,-1.0
2,16:40:16.881174,16:40:29.086020,1.0,-1.0
2,16:40:16.881174,16:40:34.748310,-1.0,-1.0
2,16:40:16.881174,16:40:35.362608,1.0,-1.0
2,16:40:16.881174,16:40:35.793544,1.0,-1.0
