Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward,Combined Reward
1,17:30:14.659547,17:30:15.988199,1.0,-1.0,1.0
1,17:30:14.659547,17:30:16.480708,1.0,-1.0,1.0
1,17:30:14.659547,17:30:16.726757,1.0,-1.0,1.0
1,17:30:14.659547,17:30:17.086947,1.0,-1.0,1.0
1,17:30:14.659547,17:30:17.422092,1.0,-1.0,1.0
1,17:30:14.659547,17:30:17.694710,1.0,-1.0,1.0
1,17:30:14.659547,17:30:17.984076,1.0,-1.0,1.0
1,17:30:14.659547,17:30:18.245903,1.0,-1.0,1.0
1,17:30:14.659547,17:30:18.457637,1.0,-1.0,1.0
1,17:30:14.659547,17:30:18.690119,1.0,-1.0,1.0
1,17:30:14.659547,17:30:18.877475,1.0,-1.0,1.0
1,17:30:14.659547,17:30:19.080398,1.0,-1.0,1.0
1,17:30:14.659547,17:30:19.304642,1.0,-1.0,1.0
1,17:30:14.659547,17:30:19.485910,1.0,-1.0,1.0
1,17:30:14.659547,17:30:19.684223,1.0,-1.0,1.0
1,17:30:14.659547,17:30:19.901319,1.0,-1.0,1.0
1,17:30:14.659547,17:30:20.114803,1.0,-1.0,1.0
1,17:30:14.659547,17:30:20.727756,1.0,-1.0,1.0
1,17:30:14.659547,17:30:21.088472,1.0,-1.0,1.0
1,17:30:14.659547,17:30:21.381093,1.0,-1.0,1.0
1,17:30:14.659547,17:30:21.674044,1.0,-1.0,1.0
1,17:30:14.659547,17:30:21.955148,1.0,-1.0,1.0
1,17:30:14.659547,17:30:22.195846,1.0,-1.0,1.0
1,17:30:14.659547,17:30:22.459167,1.0,-1.0,1.0
1,17:30:14.659547,17:30:22.736817,1.0,-1.0,1.0
1,17:30:14.659547,17:30:22.990453,1.0,-1.0,1.0
1,17:30:14.659547,17:30:23.272678,1.0,-1.0,1.0
1,17:30:14.659547,17:30:23.532692,1.0,-1.0,1.0
1,17:30:14.659547,17:30:23.801756,1.0,-1.0,1.0
1,17:30:14.659547,17:30:24.060210,1.0,-1.0,1.0
1,17:30:14.659547,17:30:24.332281,1.0,-1.0,1.0
1,17:30:14.659547,17:30:24.616455,1.0,-1.0,1.0
1,17:30:14.659547,17:30:24.841941,1.0,-1.0,1.0
1,17:30:14.659547,17:30:25.178287,1.0,-1.0,1.0
1,17:30:14.659547,17:30:25.459725,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:25.699032,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:25.909278,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:26.123397,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:26.327023,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:26.530579,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:26.728974,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:26.925319,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:27.117894,-1.0,-1.0,-1.0
1,17:30:14.659547,17:30:27.310148,-1.0,-1.0,-1.0
