Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:18:59.372482,14:19:03.255102,1,-1.0
1,14:18:59.372482,14:19:03.578158,1,-1.0
1,14:18:59.372482,14:19:03.866962,1,-1.0
1,14:18:59.372482,14:19:04.098097,1,-1.0
1,14:18:59.372482,14:19:04.385898,1,-1.0
1,14:18:59.372482,14:19:04.629613,1,-1.0
1,14:18:59.372482,14:19:04.948561,1,-1.0
1,14:18:59.372482,14:19:05.254884,1,-1.0
1,14:18:59.372482,14:19:05.549712,1,-1.0
1,14:18:59.372482,14:19:05.857571,1,-1.0
1,14:18:59.372482,14:19:06.255713,1,-1.0
1,14:18:59.372482,14:19:06.732889,1,-1.0
1,14:18:59.372482,14:19:07.030249,-1,-1.0
1,14:18:59.372482,14:19:07.379936,-1,-1.0
1,14:18:59.372482,14:19:07.823517,-1,-1.0
1,14:18:59.372482,14:19:08.111664,-1,-1.0
1,14:18:59.372482,14:19:08.399676,-1,-1.0
1,14:18:59.372482,14:19:08.848748,1,-1.0
1,14:18:59.372482,14:19:09.673441,-1,-1.0
1,14:18:59.372482,14:19:09.905128,-1,-1.0
1,14:18:59.372482,14:19:10.106594,-1,-1.0
1,14:18:59.372482,14:19:10.329525,-1,-1.0
1,14:18:59.372482,14:19:10.565588,1,-1.0
1,14:18:59.372482,14:19:10.927132,1,-1.0
1,14:18:59.372482,14:19:11.132939,1,-1.0
1,14:18:59.372482,14:19:11.377244,1,-1.0
1,14:18:59.372482,14:19:11.584133,1,-1.0
1,14:18:59.372482,14:19:11.875892,1,-1.0
1,14:18:59.372482,14:19:12.168085,1,-1.0
1,14:18:59.372482,14:19:12.455353,1,-1.0
1,14:18:59.372482,14:19:12.695749,1,-1.0
1,14:18:59.372482,14:19:12.976512,1,-1.0
1,14:18:59.372482,14:19:13.203161,1,-1.0
1,14:18:59.372482,14:19:13.482319,1,-1.0
1,14:18:59.372482,14:19:13.758748,1,-1.0
1,14:18:59.372482,14:19:14.035208,1,-1.0
1,14:18:59.372482,14:19:14.323122,1,-1.0
1,14:18:59.372482,14:19:14.545632,1,-1.0
1,14:18:59.372482,14:19:14.835841,1,-1.0
1,14:18:59.372482,14:19:15.136409,1,-1.0
1,14:18:59.372482,14:19:15.439285,1,-1.0
1,14:18:59.372482,14:19:15.728430,1,-1.0
1,14:18:59.372482,14:19:16.013495,1,-1.0
1,14:18:59.372482,14:19:16.299795,1,-1.0
1,14:18:59.372482,14:19:16.670088,-1,-1.0
1,14:18:59.372482,14:19:16.967056,-1,-1.0
1,14:18:59.372482,14:19:17.296924,-1,-1.0
1,14:18:59.372482,14:19:17.584936,-1,-1.0
1,14:18:59.372482,14:19:17.874282,-1,-1.0
1,14:18:59.372482,14:19:18.109783,-1,-1.0
1,14:18:59.372482,14:19:18.390048,-1,-1.0
1,14:18:59.372482,14:19:18.677395,1,-1.0
1,14:18:59.372482,14:19:18.900577,1,-1.0
1,14:18:59.372482,14:19:19.123945,1,-1.0
1,14:18:59.372482,14:19:19.409243,1,-1.0
1,14:18:59.372482,14:19:19.615108,1,-1.0
1,14:18:59.372482,14:19:19.892801,1,-1.0
1,14:18:59.372482,14:19:20.094101,1,-1.0
1,14:18:59.372482,14:19:20.339786,1,-1.0
1,14:18:59.372482,14:19:20.617855,1,-1.0
1,14:18:59.372482,14:19:20.907478,1,-1.0
1,14:18:59.372482,14:19:21.142492,1,-1.0
1,14:18:59.372482,14:19:21.429395,1,-1.0
