Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:05:13.810525,14:06:50.707925,-1,-1.0
1,14:05:13.810525,14:06:50.983497,-1,-1.0
1,14:05:13.810525,14:06:51.664889,-1,-1.0
1,14:05:13.810525,14:07:03.947977,1,-1.0
1,14:05:13.810525,14:07:04.299235,1,-1.0
1,14:05:13.810525,14:07:04.802457,1,-1.0
1,14:05:13.810525,14:07:07.054646,1,-1.0
1,14:05:13.810525,14:07:09.119400,1,-1.0
1,14:05:13.810525,14:07:19.841423,-1,-1.0
1,14:05:13.810525,14:07:20.937202,-1,-1.0
1,14:05:13.810525,14:07:21.202690,-1,-1.0
1,14:05:13.810525,14:07:21.426857,-1,-1.0
1,14:05:13.810525,14:07:21.650248,-1,-1.0
1,14:05:13.810525,14:07:22.863072,-1,-1.0
1,14:05:13.810525,14:07:23.388729,1,-1.0
1,14:05:13.810525,14:07:23.677902,1,-1.0
1,14:05:13.810525,14:07:23.903389,1,-1.0
1,14:05:13.810525,14:07:24.098463,1,-1.0
1,14:05:13.810525,14:07:24.320795,1,-1.0
1,14:05:13.810525,14:07:24.554065,1,-1.0
1,14:05:13.810525,14:07:24.799675,1,-1.0
1,14:05:13.810525,14:07:25.010219,1,-1.0
1,14:05:13.810525,14:07:25.230467,1,-1.0
1,14:05:13.810525,14:07:25.474215,1,-1.0
1,14:05:13.810525,14:07:25.699592,1,-1.0
1,14:05:13.810525,14:07:25.913449,1,-1.0
1,14:05:13.810525,14:07:26.128202,1,-1.0
1,14:05:13.810525,14:07:26.361260,1,-1.0
1,14:05:13.810525,14:07:26.615193,1,-1.0
1,14:05:13.810525,14:07:26.848906,1,-1.0
1,14:05:13.810525,14:07:27.098792,1,-1.0
1,14:05:13.810525,14:07:27.330852,1,-1.0
1,14:05:13.810525,14:07:27.535666,1,-1.0
1,14:05:13.810525,14:07:27.757879,1,-1.0
1,14:05:13.810525,14:07:27.990139,1,-1.0
1,14:05:13.810525,14:07:28.220622,1,-1.0
1,14:05:13.810525,14:07:28.463424,1,-1.0
1,14:05:13.810525,14:07:28.688461,1,-1.0
1,14:05:13.810525,14:07:29.005040,1,-1.0
1,14:05:13.810525,14:07:29.225614,1,-1.0
1,14:05:13.810525,14:07:29.451494,1,-1.0
1,14:05:13.810525,14:07:29.663962,1,-1.0
1,14:05:13.810525,14:07:29.875726,1,-1.0
